 Date Time SO2 NO2 NO
 15.12.12 12:00 0.02 0.27 0.11
 -------- 13:00 0.02 0.27 0.10
 -------- 14:00 0.02 0.28 0.10
 -------- 15:00 0.02 0.32 0.09
 -------- 16:00 0.02 0.34 0.09
 15.12.12 17:00 0.02 0.36 0.09
 -------- 18:00 0.02 0.35 0.07
 -------- 19:00 0.01 0.34 0.06
 -------- 20:00 0.02 0.34 0.06
 -------- 21:00 0.02 0.35 0.07
 15.12.12 22:00 0.02 0.34 0.09
 -------- 23:00 0.02 0.34 0.12
 -------- 00:00 0.03 0.34 0.11
 -------- 01:00 0.03 0.33 0.11
 -------- 02:00 0.03 0.32 0.10
 16.12.12 03:00 0.03 0.31 0.09
 -------- 04:00 0.03 0.31 0.10
 -------- 05:00 0.03 0.30 0.09
 -------- 06:00 0.03 0.30 0.10
 -------- 07:00 0.03 0.30 0.11
 16.12.12 08:00 0.03 0.30 0.13
 -------- 09:00 0.03 0.30 0.14
 -------- 10:00 0.03 0.32 0.19
 -------- 11:00 0.04 0.32 0.22
 -------- 12:00 0.04 0.33 0.23
 16.12.12 13:00 0.05 0.37 0.23
 -------- 14:00 0.06 0.38 0.21
 -------- 15:00 0.06 0.39 0.19
 -------- 16:00 0.05 0.40 0.17
 -------- 17:00 0.05 0.40 0.18
 16.12.12 18:00 0.04 0.40 0.15
 -------- 19:00 0.03 0.38 0.10
 -------- 20:00 0.02 0.37 0.11
 -------- 21:00 0.02 0.38 0.13
 -------- 22:00 0.03 0.38 0.17
 16.12.12 23:00 0.04 0.38 0.20
 -------- 00:00 0.04 0.39 0.23
 -------- 01:00 0.03 0.37 0.18
 -------- 02:00 0.03 0.37 0.19
 -------- 03:00 0.03 0.35 0.15
 17.12.12 04:00 0.02 0.35 0.26
 -------- 05:00 0.02 0.38 0.43
 -------- 06:00 0.02 0.39 0.38
 -------- 07:00 0.02 0.42 0.58
 -------- 08:00 0.03 0.45 0.78
 17.12.12 09:00 0.02 0.48 0.78
 -------- 10:00 0.02 0.48 0.72
 -------- 11:00 0.03 0.55 0.93
