 Date Time CO SO2 NO2 NO
 17.12.12 00:00 ---- 0.04 0.39 0.23
 -------- 01:00 ---- 0.03 0.37 0.18
 -------- 02:00 ---- 0.03 0.37 0.19
 -------- 03:00 ---- 0.03 0.35 0.15
 -------- 04:00 ---- 0.02 0.35 0.26
 17.12.12 05:00 ---- 0.02 0.38 0.43
 -------- 06:00 ---- 0.02 0.39 0.38
 -------- 07:00 ---- 0.02 0.42 0.58
 -------- 08:00 ---- 0.03 0.45 0.78
 -------- 09:00 ---- 0.02 0.48 0.78
 17.12.12 10:00 ---- 0.02 0.48 0.72
 -------- 11:00 ---- 0.03 0.55 0.93
 -------- 12:00 ---- 0.02 0.49 0.55
 -------- 13:00 ---- 0.01 0.47 0.34
 -------- 14:00 ---- 0.01 0.47 0.32
 17.12.12 15:00 0.11 0.01 0.42 0.17
 -------- 16:00 0.10 0.01 0.43 0.15
 -------- 17:00 0.09 0.01 0.41 0.10
 -------- 18:00 0.12 0.01 0.42 0.14
 -------- 19:00 0.09 0.01 0.36 0.06
 17.12.12 20:00 0.07 0.01 0.30 0.03
 -------- 21:00 0.08 0.01 0.34 0.07
 -------- 22:00 0.08 0.01 0.33 0.06
 -------- 23:00 0.08 0.01 0.30 0.05
 -------- 00:00 0.10 0.02 0.30 0.05
 18.12.12 01:00 0.09 0.01 0.30 0.06
 -------- 02:00 0.08 0.01 0.29 0.04
 -------- 03:00 0.08 0.01 0.29 0.04
 -------- 04:00 0.08 0.01 0.30 0.05
 -------- 05:00 0.09 0.01 0.29 0.05
 18.12.12 06:00 0.12 0.01 0.30 0.08
 -------- 07:00 0.13 0.01 0.31 0.12
 -------- 08:00 0.18 0.02 0.31 0.15
 -------- 09:00 0.15 0.01 0.33 0.14
 -------- 10:00 0.16 0.01 0.32 0.17
 18.12.12 11:00 0.17 0.01 0.31 0.18
 -------- 12:00 0.15 0.02 0.29 0.19
 -------- 13:00 0.17 0.02 0.30 0.21
 -------- 14:00 0.17 0.03 0.32 0.25
 -------- 15:00 0.17 0.03 0.33 0.24
 18.12.12 16:00 0.16 0.02 0.33 0.22
 -------- 17:00 0.14 0.01 0.31 0.17
 -------- 18:00 0.13 0.02 0.31 0.15
 -------- 19:00 0.11 0.01 0.30 0.09
 -------- 20:00 0.11 0.01 0.28 0.07
 18.12.12 21:00 0.12 0.02 0.28 0.06
 -------- 22:00 0.10 0.01 0.27 0.04
 -------- 23:00 0.10 0.01 0.26 0.04
