 Date Time CO SO2 NO2 CHX NO
 07.03.13 00:00 0.06 0.01 0.15 1.46 0.00
 -------- 01:00 0.06 0.01 0.13 1.45 0.00
 -------- 02:00 0.06 0.01 0.12 1.44 0.00
 -------- 03:00 0.06 0.01 0.11 1.44 ----
 -------- 04:00 0.06 0.01 0.11 1.44 ----
 07.03.13 05:00 0.06 0.01 0.11 1.44 ----
 -------- 06:00 0.07 0.01 0.15 1.45 0.00
 -------- 07:00 0.09 0.01 0.33 1.48 0.01
 -------- 08:00 0.12 0.01 0.43 1.51 0.03
 -------- 09:00 0.10 0.01 0.41 1.50 0.04
 07.03.13 10:00 0.09 0.01 0.26 1.49 0.03
 -------- 11:00 0.06 0.01 0.10 1.56 0.01
 -------- 12:00 0.06 0.00 0.12 1.51 0.02
 -------- 13:00 0.07 0.01 0.11 1.51 0.02
 -------- 14:00 0.05 0.01 0.09 1.49 0.01
 07.03.13 15:00 0.06 0.00 0.09 1.52 0.01
 -------- 16:00 0.06 0.01 0.09 1.47 0.01
 -------- 17:00 0.06 0.01 0.09 1.43 0.01
 -------- 18:00 0.06 0.01 0.09 1.46 0.01
 -------- 19:00 0.06 0.01 0.13 1.46 0.01
 07.03.13 20:00 0.06 0.01 0.14 1.51 0.00
 -------- 21:00 0.07 0.01 0.22 1.82 0.00
 -------- 22:00 0.06 0.01 0.18 1.80 0.00
 -------- 23:00 0.06 0.01 0.15 1.89 0.00
 -------- 00:00 0.05 0.01 0.15 1.68 0.00
 08.03.13 01:00 0.04 0.01 0.12 1.57 0.00
 -------- 02:00 0.04 0.01 0.12 1.51 0.00
 -------- 03:00 0.06 0.01 0.17 1.54 0.00
 -------- 04:00 0.06 0.01 0.25 1.50 0.00
 -------- 05:00 0.05 0.01 0.13 1.73 0.00
 08.03.13 06:00 0.04 0.01 0.11 1.52 ----
 -------- 07:00 0.04 0.01 0.12 1.57 0.00
 -------- 08:00 0.04 0.01 0.07 1.42 0.00
 -------- 09:00 0.04 0.00 0.09 1.43 0.01
 -------- 10:00 0.04 0.01 0.08 1.44 0.01
 08.03.13 11:00 0.06 0.01 0.08 1.44 0.01
 -------- 12:00 0.07 0.01 0.07 1.44 0.01
 -------- 13:00 0.12 0.00 0.07 1.45 0.01
 -------- 14:00 0.06 0.01 0.07 1.42 0.01
 -------- 15:00 0.06 0.00 0.08 1.42 0.01
 08.03.13 16:00 0.06 0.00 0.08 1.42 0.01
 -------- 17:00 0.06 0.01 0.09 1.47 0.01
 -------- 18:00 0.07 0.00 0.10 1.67 0.01
 -------- 19:00 0.09 0.01 0.22 1.54 0.01
 -------- 20:00 0.14 0.01 0.38 2.36 0.08
 08.03.13 21:00 0.11 0.01 0.37 1.98 0.05
 -------- 22:00 0.11 0.01 0.40 1.57 0.04
 -------- 23:00 0.11 0.01 0.40 1.60 0.03
