 Date Time CO SO2 NO2 NO
 18.12.12 00:00 0.10 0.02 0.30 0.05
 -------- 01:00 0.09 0.01 0.30 0.06
 -------- 02:00 0.08 0.01 0.29 0.04
 -------- 03:00 0.08 0.01 0.29 0.04
 -------- 04:00 0.08 0.01 0.30 0.05
 18.12.12 05:00 0.09 0.01 0.29 0.05
 -------- 06:00 0.12 0.01 0.30 0.08
 -------- 07:00 0.13 0.01 0.31 0.12
 -------- 08:00 0.18 0.02 0.31 0.15
 -------- 09:00 0.15 0.01 0.33 0.14
 18.12.12 10:00 0.16 0.01 0.32 0.17
 -------- 11:00 0.17 0.01 0.31 0.18
 -------- 12:00 0.15 0.02 0.29 0.19
 -------- 13:00 0.17 0.02 0.30 0.21
 -------- 14:00 0.17 0.03 0.32 0.25
 18.12.12 15:00 0.17 0.03 0.33 0.24
 -------- 16:00 0.16 0.02 0.33 0.22
 -------- 17:00 0.14 0.01 0.31 0.17
 -------- 18:00 0.13 0.02 0.31 0.15
 -------- 19:00 0.11 0.01 0.30 0.09
 18.12.12 20:00 0.11 0.01 0.28 0.07
 -------- 21:00 0.12 0.02 0.28 0.06
 -------- 22:00 0.10 0.01 0.27 0.04
 -------- 23:00 0.10 0.01 0.26 0.04
 -------- 00:00 0.08 0.02 0.25 0.03
 19.12.12 01:00 0.07 0.01 0.25 0.02
 -------- 02:00 0.06 0.01 0.25 0.02
 -------- 03:00 0.06 0.01 0.25 0.02
 -------- 04:00 0.05 0.02 0.24 0.02
 -------- 05:00 0.04 0.01 0.24 0.02
 19.12.12 06:00 0.12 0.01 0.26 0.04
 -------- 07:00 0.15 0.02 0.29 0.08
 -------- 08:00 0.18 0.01 0.27 0.11
 -------- 09:00 0.21 0.02 0.30 0.18
 -------- 10:00 0.20 0.03 0.32 0.20
 19.12.12 11:00 0.19 0.03 0.32 0.23
 -------- 12:00 0.18 0.03 0.33 0.23
 -------- 13:00 0.18 0.05 0.34 0.25
 -------- 14:00 0.23 0.07 0.35 0.28
 -------- 15:00 0.17 0.04 0.35 0.23
 19.12.12 16:00 0.18 0.03 0.33 0.17
 -------- 17:00 0.19 0.03 0.35 0.15
 -------- 18:00 0.19 0.02 0.36 0.14
 -------- 19:00 0.19 0.03 0.36 0.16
 -------- 20:00 0.19 0.04 0.37 0.18
 19.12.12 21:00 0.18 0.06 0.37 0.16
 -------- 22:00 0.18 0.03 0.37 0.15
 -------- 23:00 0.18 0.03 0.36 0.14
 -------- 00:00 0.18 0.03 0.35 0.14
