 Date Time CO SO2 NO2 NO
 10.12.12 12:00 0.16 0.01 0.20 0.12
 -------- 13:00 0.15 0.01 0.21 0.13
 -------- 14:00 0.15 0.01 0.21 0.14
 -------- 15:00 0.16 0.01 0.22 0.17
 -------- 16:00 0.14 0.01 0.22 0.14
 10.12.12 17:00 0.14 0.01 0.21 0.13
 -------- 18:00 0.13 0.01 0.21 0.12
 -------- 19:00 0.12 0.00 0.19 0.09
 -------- 20:00 0.10 0.00 0.19 0.05
 -------- 21:00 0.09 0.00 0.20 0.04
 10.12.12 22:00 0.07 0.00 0.20 0.02
 -------- 23:00 0.07 0.00 0.21 0.02
 -------- 00:00 0.06 0.01 0.19 0.01
 -------- 01:00 0.05 0.00 0.15 0.01
 -------- 02:00 0.05 0.00 0.17 0.01
 11.12.12 03:00 0.05 0.00 0.17 0.01
 -------- 04:00 0.05 0.01 0.16 0.00
 -------- 05:00 0.06 0.01 0.18 0.01
 -------- 06:00 0.06 0.01 0.19 0.01
 -------- 07:00 0.09 0.01 0.24 0.02
 11.12.12 08:00 0.09 0.01 0.27 0.03
 -------- 09:00 0.10 0.01 0.29 0.04
 -------- 10:00 0.07 0.01 0.27 0.03
 -------- 11:00 0.08 0.01 0.21 0.03
 -------- 12:00 0.09 0.01 0.26 0.04
 11.12.12 13:00 0.09 0.01 0.27 0.05
 -------- 14:00 0.10 0.01 0.30 0.06
 -------- 15:00 0.09 0.00 0.28 0.05
 -------- 16:00 0.12 0.00 0.34 0.07
 -------- 17:00 0.11 0.01 0.37 0.07
 11.12.12 18:00 0.11 0.00 0.35 0.06
 -------- 19:00 0.10 0.01 0.34 0.05
 -------- 20:00 0.09 0.00 0.26 0.03
 -------- 21:00 0.10 0.01 0.27 0.04
 -------- 22:00 0.08 0.01 0.27 0.04
 11.12.12 23:00 0.08 0.01 0.30 0.05
 -------- 00:00 0.08 0.01 0.29 0.04
 -------- 01:00 0.07 0.02 0.29 0.03
 -------- 02:00 0.06 0.01 0.26 0.01
 -------- 03:00 0.06 0.01 0.21 0.01
 12.12.12 04:00 0.06 0.01 0.21 0.01
 -------- 05:00 0.06 0.02 0.24 0.01
