 Date Time CO SO2 NO2 CHX NO
 05.05.13 12:00 0.10 0.01 0.13 1.71 0.05
 -------- 13:00 0.08 0.00 0.11 1.60 0.04
 -------- 14:00 0.08 0.01 0.08 1.76 0.03
 -------- 15:00 0.08 0.01 0.07 1.74 0.03
 -------- 16:00 0.08 0.01 0.07 1.65 0.03
 05.05.13 17:00 0.08 0.01 0.07 1.67 0.02
 -------- 18:00 0.07 0.01 0.05 1.73 0.02
 -------- 19:00 0.08 0.01 0.06 1.58 0.02
 -------- 20:00 0.09 0.01 0.11 1.49 0.02
 -------- 21:00 0.09 0.01 0.10 1.47 0.02
 05.05.13 22:00 0.10 0.01 0.12 1.47 0.03
 -------- 23:00 0.10 0.01 0.13 1.47 0.03
 -------- 00:00 0.10 0.01 0.09 1.45 0.03
 -------- 01:00 0.08 0.01 0.07 1.44 0.03
 -------- 02:00 0.07 0.01 0.05 1.58 0.02
 06.05.13 03:00 0.06 0.01 0.04 2.09 0.02
 -------- 04:00 0.06 0.01 0.05 2.12 0.02
 -------- 05:00 0.06 0.01 0.10 1.99 0.02
 -------- 06:00 0.06 0.01 0.08 1.62 0.02
 -------- 07:00 0.06 0.01 0.06 1.58 0.02
 06.05.13 08:00 0.06 0.01 0.06 1.64 0.01
 -------- 09:00 0.06 0.01 0.04 1.50 0.01
 -------- 10:00 0.06 0.01 0.04 1.45 0.01
 -------- 11:00 0.06 0.01 0.05 1.45 0.01
 -------- 12:00 0.06 0.01 0.02 7.10 0.01
 06.05.13 13:00 0.05 0.00 0.01 11.69 0.01
 -------- 14:00 0.05 0.01 0.01 3.75 0.00
 -------- 15:00 0.04 0.01 0.02 3.19 0.01
 -------- 16:00 0.05 0.01 0.03 2.64 0.01
 -------- 17:00 0.06 0.01 0.03 2.32 0.01
 06.05.13 18:00 0.06 0.01 0.05 2.15 0.01
 -------- 19:00 0.06 0.01 0.05 2.06 0.01
 -------- 20:00 0.06 0.01 0.06 2.04 0.01
 -------- 21:00 0.06 0.01 0.07 1.97 0.01
 -------- 22:00 0.06 0.01 0.09 2.03 0.01
 06.05.13 23:00 0.06 0.01 0.11 1.94 0.01
 -------- 00:00 0.06 0.01 0.12 1.97 0.02
 -------- 01:00 0.06 0.01 0.13 2.10 0.02
 -------- 02:00 0.08 0.01 0.16 2.12 0.02
 -------- 03:00 0.08 0.01 0.19 2.50 0.03
 07.05.13 04:00 0.08 0.01 0.19 2.61 0.04
 -------- 05:00 0.09 0.00 0.20 2.46 0.06
 -------- 06:00 0.09 0.01 0.20 2.56 0.07
 -------- 07:00 0.11 0.01 0.19 2.25 0.09
 -------- 08:00 0.11 0.01 0.12 1.99 0.06
 07.05.13 09:00 0.09 0.01 0.09 1.84 0.05
 -------- 10:00 0.08 0.01 0.05 1.80 0.04
 -------- 11:00 0.07 0.01 0.06 1.71 0.03
