 Date Time CO NO2 CHX NO
 01.10.12 15:00 0.04 0.11 ---- 0.01
 -------- 17:00 0.04 0.09 1.50 0.01
 -------- 18:00 0.04 0.09 1.41 0.00
 -------- 19:00 0.04 0.12 1.51 0.00
 -------- 20:00 0.06 0.16 1.89 0.00
 01.10.12 21:00 0.09 0.22 1.76 0.02
 -------- 22:00 0.16 0.30 1.69 0.11
 -------- 23:00 0.11 0.26 1.63 0.05
 -------- 00:00 0.09 0.23 2.36 0.03
 -------- 01:00 0.16 0.22 2.58 0.12
 02.10.12 02:00 0.14 0.20 2.65 0.15
 -------- 03:00 0.15 0.17 2.39 0.20
 -------- 04:00 0.13 0.20 2.96 0.21
 -------- 05:00 0.09 0.19 1.72 0.05
 -------- 06:00 0.10 0.21 1.52 0.10
 02.10.12 07:00 0.17 0.21 1.59 0.17
 -------- 08:00 0.25 0.23 1.57 0.29
 -------- 09:00 0.25 0.24 1.52 0.31
 -------- 10:00 0.22 0.26 1.52 0.25
 -------- 11:00 0.18 0.28 1.49 0.18
 02.10.12 12:00 0.12 0.24 1.42 0.09
 -------- 13:00 0.10 0.21 1.38 0.06
 -------- 14:00 0.07 0.15 1.31 0.03
 -------- 15:00 0.06 0.14 1.28 0.02
 -------- 16:00 0.05 0.16 1.28 0.02
 02.10.12 17:00 0.09 0.22 1.33 0.03
 -------- 18:00 0.10 0.29 1.36 0.03
 -------- 19:00 0.14 0.33 1.44 0.05
 -------- 20:00 0.30 0.33 1.62 0.15
 -------- 21:00 0.27 0.33 1.58 0.16
 02.10.12 22:00 0.30 0.32 1.63 0.14
 -------- 23:00 0.29 0.32 1.55 0.17
 -------- 00:00 0.21 0.31 1.50 0.10
 -------- 01:00 0.17 0.29 1.49 0.10
 -------- 02:00 0.11 0.27 1.29 0.08
 03.10.12 03:00 0.14 0.27 1.38 0.13
 -------- 04:00 0.13 0.27 1.62 0.13
 -------- 05:00 0.10 0.27 1.57 0.07
 -------- 06:00 0.09 0.27 1.55 0.07
 -------- 07:00 0.15 0.27 1.58 0.13
 03.10.12 08:00 0.20 0.26 1.62 0.14
 -------- 09:00 0.18 0.27 1.58 0.11
 -------- 10:00 0.19 0.27 1.59 0.13
 -------- 11:00 0.17 0.26 1.56 0.11
