 Date Time CO SO2 NO2 CHX NO
 15.03.13 12:00 0.15 0.01 0.44 1.69 0.09
 -------- 13:00 0.11 0.01 0.38 1.60 0.06
 -------- 14:00 0.12 0.01 0.39 1.56 0.05
 -------- 15:00 0.12 0.00 0.21 1.56 0.04
 -------- 16:00 0.11 0.01 0.20 1.55 0.02
 15.03.13 17:00 0.11 0.01 0.21 1.55 0.02
 -------- 18:00 0.10 0.01 0.20 1.59 0.01
 -------- 19:00 0.10 0.01 0.18 1.57 0.01
 -------- 20:00 0.10 0.01 0.22 1.57 0.02
 -------- 21:00 0.11 0.01 0.25 1.59 0.02
 15.03.13 22:00 0.12 0.01 0.27 1.60 0.02
 -------- 23:00 0.11 0.00 0.29 1.60 0.02
 -------- 00:00 0.10 0.01 0.29 1.61 0.02
 -------- 01:00 0.13 0.01 0.34 1.68 0.07
 -------- 02:00 0.21 0.01 0.38 1.78 0.31
 16.03.13 03:00 0.16 0.00 0.36 1.81 0.27
 -------- 04:00 0.16 0.01 0.37 1.81 0.23
 -------- 05:00 0.11 0.00 0.35 1.76 0.08
 -------- 06:00 0.10 0.01 0.33 1.73 0.05
 -------- 07:00 0.13 0.01 0.33 1.75 0.07
 16.03.13 08:00 0.13 0.01 0.33 1.72 0.09
 -------- 09:00 0.16 0.00 0.33 1.72 0.16
 -------- 10:00 0.19 0.01 0.36 1.78 0.20
 -------- 11:00 0.19 0.01 0.37 1.76 0.20
 -------- 12:00 0.19 0.01 0.37 1.74 0.20
 16.03.13 13:00 0.19 0.01 0.38 1.69 0.15
 -------- 14:00 0.13 0.01 0.27 1.58 0.07
 -------- 15:00 0.10 0.01 0.23 1.54 0.03
 -------- 16:00 0.11 0.00 0.20 1.54 0.02
 -------- 17:00 0.10 0.01 0.20 1.51 0.02
 16.03.13 18:00 0.10 0.01 0.21 1.52 0.01
 -------- 19:00 0.10 0.01 0.18 1.52 0.02
 -------- 20:00 0.09 0.01 0.18 1.51 0.01
 -------- 21:00 0.09 0.01 0.17 1.52 0.01
 -------- 22:00 0.09 0.01 0.18 1.61 0.01
 16.03.13 23:00 0.07 0.01 0.16 1.75 0.00
 -------- 00:00 0.06 0.01 0.12 1.61 0.00
 -------- 01:00 0.06 0.01 0.10 1.62 0.00
 -------- 02:00 0.04 0.01 0.08 1.54 ----
 -------- 03:00 0.04 0.01 0.07 1.69 ----
 17.03.13 04:00 0.04 0.01 0.05 1.64 ----
 -------- 05:00 0.06 0.01 0.05 1.55 ----
 -------- 06:00 0.06 0.01 0.04 1.64 ----
 -------- 07:00 0.06 0.01 0.04 1.67 ----
 -------- 08:00 0.06 0.01 0.04 1.62 0.00
 17.03.13 09:00 0.06 0.01 0.06 1.52 0.00
 -------- 10:00 0.15 0.01 0.06 1.66 0.01
 -------- 11:00 0.08 0.01 0.05 1.59 0.01
