 Date Time CO SO2 NO2 NO
 11.12.12 12:00 0.09 0.01 0.26 0.04
 -------- 13:00 0.09 0.01 0.27 0.05
 -------- 14:00 0.10 0.01 0.30 0.06
 -------- 15:00 0.09 0.00 0.28 0.05
 -------- 16:00 0.12 0.00 0.34 0.07
 11.12.12 17:00 0.11 0.01 0.37 0.07
 -------- 18:00 0.11 0.00 0.35 0.06
 -------- 19:00 0.10 0.01 0.34 0.05
 -------- 20:00 0.09 0.00 0.26 0.03
 -------- 21:00 0.10 0.01 0.27 0.04
 11.12.12 22:00 0.08 0.01 0.27 0.04
 -------- 23:00 0.08 0.01 0.30 0.05
 -------- 00:00 0.08 0.01 0.29 0.04
 -------- 01:00 0.07 0.02 0.29 0.03
 -------- 02:00 0.06 0.01 0.26 0.01
 12.12.12 03:00 0.06 0.01 0.21 0.01
 -------- 04:00 0.06 0.01 0.21 0.01
 -------- 05:00 0.07 0.02 0.26 0.02
 -------- 06:00 0.09 0.01 0.28 0.04
 -------- 07:00 0.11 0.01 0.30 0.05
 12.12.12 08:00 0.15 0.01 0.31 0.08
 -------- 09:00 0.13 0.01 0.32 0.11
 -------- 10:00 0.13 0.02 0.30 0.11
 -------- 11:00 0.12 0.02 0.29 0.14
 -------- 12:00 0.12 0.02 0.27 0.13
 12.12.12 13:00 0.12 0.02 0.26 0.12
 -------- 14:00 0.11 0.03 0.28 0.14
 -------- 15:00 0.13 0.02 0.28 0.13
 -------- 16:00 0.13 0.02 0.31 0.14
 -------- 17:00 0.13 0.02 0.33 0.15
 12.12.12 18:00 0.11 0.02 0.31 0.09
 -------- 19:00 0.11 0.02 0.30 0.07
 -------- 20:00 0.17 0.01 0.27 0.05
 -------- 21:00 0.09 0.01 0.25 0.04
 -------- 22:00 0.08 0.01 0.25 0.03
 12.12.12 23:00 0.07 0.02 0.24 0.03
 -------- 00:00 0.06 0.01 0.22 0.02
 -------- 01:00 0.06 0.01 0.19 0.01
 -------- 02:00 0.06 0.01 0.17 0.01
 -------- 03:00 0.06 0.01 0.16 0.01
 13.12.12 04:00 0.06 0.01 0.13 0.01
 -------- 05:00 0.06 0.01 0.14 0.01
 -------- 06:00 0.06 0.01 0.18 0.01
 -------- 07:00 0.07 0.01 0.19 0.01
 -------- 08:00 0.09 0.02 0.20 0.02
 13.12.12 09:00 0.07 0.02 0.22 0.02
 -------- 10:00 0.08 0.01 0.24 0.03
 -------- 11:00 0.08 0.01 0.22 0.03
