 Date Time CO SO2 NO2 NO
 24.12.12 00:00 0.28 0.01 0.55 0.72
 -------- 01:00 0.31 0.01 0.62 0.87
 -------- 02:00 0.22 0.01 0.49 0.48
 -------- 03:00 0.20 0.01 0.48 0.51
 -------- 04:00 0.24 0.01 0.56 0.76
 24.12.12 05:00 0.24 0.01 0.47 0.47
 -------- 06:00 0.32 0.01 0.56 0.74
 -------- 07:00 0.47 0.01 0.62 0.99
 -------- 08:00 0.47 0.02 0.65 1.02
 -------- 09:00 0.55 0.01 0.66 1.17
 24.12.12 10:00 0.65 0.01 0.75 1.38
 -------- 11:00 0.59 0.01 0.78 1.35
 -------- 12:00 0.41 0.01 0.67 0.77
 -------- 13:00 0.38 0.01 0.69 0.71
 -------- 14:00 0.36 0.00 0.69 0.68
 24.12.12 15:00 0.31 0.02 0.65 0.53
 -------- 16:00 0.21 0.01 0.58 0.36
 -------- 17:00 0.25 0.00 0.60 0.47
 -------- 18:00 0.25 0.01 0.57 0.49
 -------- 19:00 0.21 0.01 0.50 0.37
 24.12.12 20:00 0.18 0.00 0.47 0.31
 -------- 21:00 0.19 0.00 0.47 0.31
 -------- 22:00 0.16 0.00 0.46 0.27
 -------- 23:00 0.13 0.01 0.45 0.22
 -------- 00:00 0.10 0.01 0.45 0.18
 25.12.12 01:00 0.08 0.01 0.44 0.14
 -------- 02:00 0.08 0.01 0.42 0.12
 -------- 03:00 0.08 0.02 0.41 0.10
 -------- 04:00 0.08 0.01 0.40 0.07
 -------- 05:00 0.08 0.01 0.38 0.06
 25.12.12 06:00 0.09 0.01 0.37 0.07
 -------- 07:00 0.13 0.01 0.38 0.14
 -------- 08:00 0.15 0.00 0.38 0.15
 -------- 09:00 0.15 0.02 0.37 0.15
 -------- 10:00 0.13 0.01 0.35 0.12
 25.12.12 11:00 0.11 0.00 0.33 0.10
 -------- 12:00 0.11 0.01 0.34 0.10
 -------- 13:00 0.10 0.01 0.29 0.06
 -------- 14:00 0.11 0.00 0.32 0.07
 -------- 15:00 0.10 0.01 0.31 0.06
 25.12.12 16:00 0.11 0.01 0.31 0.07
 -------- 17:00 0.11 0.00 0.33 0.06
 -------- 18:00 0.12 0.01 0.33 0.08
 -------- 19:00 0.12 0.01 0.33 0.07
 -------- 20:00 0.13 0.01 0.33 0.09
 25.12.12 21:00 0.13 0.00 0.34 0.10
 -------- 22:00 0.11 0.01 0.33 0.09
 -------- 23:00 0.12 0.01 0.33 0.09
