 Date Time CO SO2 NO2 CHX NO
 23.03.13 12:00 0.07 0.01 0.07 1.45 0.02
 -------- 13:00 0.06 0.01 0.04 1.45 0.01
 -------- 14:00 0.06 0.01 0.06 1.44 0.01
 -------- 15:00 0.07 0.01 0.04 1.45 0.01
 -------- 16:00 0.06 0.01 0.06 1.44 0.01
 23.03.13 17:00 0.06 0.01 0.06 1.44 0.01
 -------- 18:00 0.06 0.01 0.07 1.45 0.01
 -------- 19:00 0.06 0.01 0.09 1.45 0.01
 -------- 20:00 0.06 0.00 0.08 1.45 0.01
 -------- 21:00 0.06 0.01 0.10 1.45 0.01
 23.03.13 22:00 0.06 0.01 0.09 1.45 0.00
 -------- 23:00 0.06 0.01 0.09 1.46 0.00
 -------- 00:00 0.06 0.00 0.07 1.43 0.00
 -------- 01:00 0.05 0.01 0.06 1.41 0.00
 -------- 02:00 0.04 0.01 0.02 1.41 0.00
 24.03.13 03:00 0.05 0.01 0.01 1.41 ----
 -------- 04:00 0.04 0.00 ---- 1.38 ----
 -------- 05:00 0.04 0.00 ---- 1.38 ----
 -------- 06:00 0.04 0.01 ---- 1.38 ----
 -------- 07:00 0.04 0.01 0.01 1.37 ----
 24.03.13 08:00 0.06 0.01 0.02 1.38 0.00
 -------- 09:00 0.06 0.00 0.02 1.35 0.00
 -------- 10:00 0.06 0.01 0.03 1.36 0.00
 -------- 11:00 0.06 0.01 0.02 1.35 0.01
 -------- 12:00 0.06 0.01 0.01 1.34 0.01
 24.03.13 13:00 0.06 0.01 0.01 1.33 0.01
 -------- 14:00 0.05 0.00 0.01 1.30 0.01
 -------- 15:00 0.05 0.01 0.01 1.30 0.01
 -------- 16:00 0.05 0.01 0.01 1.28 0.01
 -------- 17:00 0.05 0.01 0.02 1.28 0.01
 24.03.13 18:00 0.06 0.01 0.02 1.27 0.00
 -------- 19:00 0.06 0.00 0.01 1.26 0.00
 -------- 20:00 0.05 0.01 0.01 1.24 0.00
 -------- 21:00 0.04 0.01 0.01 1.22 0.00
 -------- 22:00 0.05 0.01 0.03 1.22 0.01
 24.03.13 23:00 0.05 0.01 0.04 1.22 0.00
 -------- 00:00 0.04 0.01 0.03 1.20 0.00
 -------- 01:00 0.04 0.00 0.03 1.17 0.00
 -------- 02:00 0.05 0.01 0.03 1.19 0.01
 -------- 03:00 0.04 0.01 0.05 1.17 0.00
 25.03.13 04:00 0.04 0.02 0.05 1.15 ----
 -------- 05:00 0.04 0.01 0.04 1.16 0.00
 -------- 06:00 0.06 0.00 0.07 1.15 0.00
 -------- 07:00 0.06 0.01 0.12 1.17 0.00
 -------- 08:00 0.08 0.01 0.12 1.18 0.01
 25.03.13 09:00 0.06 0.01 0.11 1.17 0.01
 -------- 10:00 0.06 0.01 0.09 1.16 0.02
 -------- 11:00 0.06 0.01 0.09 0.81 0.02
