 Date Time CO SO2 NO2 CHX NO
 02.05.13 00:00 0.28 0.01 0.33 2.32 0.28
 -------- 01:00 0.29 0.01 0.34 2.67 0.39
 -------- 02:00 0.29 0.01 0.33 3.62 0.48
 -------- 03:00 0.23 0.01 0.29 3.23 0.31
 -------- 04:00 0.18 0.01 0.30 2.72 0.26
 02.05.13 05:00 0.17 0.01 0.29 2.36 0.23
 -------- 06:00 0.17 0.01 0.28 3.75 0.28
 -------- 07:00 0.19 0.01 0.28 4.16 0.28
 -------- 08:00 0.21 0.01 0.33 2.97 0.28
 -------- 09:00 0.19 0.01 0.34 2.23 0.22
 02.05.13 10:00 0.11 0.01 0.19 1.80 0.10
 -------- 11:00 0.08 0.01 0.09 1.58 0.05
 -------- 12:00 0.07 0.01 0.05 1.50 0.02
 -------- 13:00 0.06 0.01 0.04 1.47 0.01
 -------- 14:00 0.06 0.01 0.05 1.43 0.01
 02.05.13 15:00 0.06 0.01 0.03 1.44 0.01
 -------- 16:00 0.05 0.01 0.04 1.44 0.01
 -------- 17:00 0.06 0.01 0.04 1.43 0.01
 -------- 18:00 0.06 0.01 0.05 1.42 0.01
 -------- 19:00 0.06 0.01 0.05 1.43 0.01
 02.05.13 20:00 0.06 0.01 0.07 1.44 0.01
 -------- 21:00 0.07 0.01 0.14 1.49 0.01
 -------- 22:00 0.13 0.01 0.22 1.57 0.01
 -------- 23:00 0.16 0.01 0.30 1.71 0.04
 -------- 00:00 0.14 0.01 0.26 1.62 0.03
 03.05.13 01:00 0.13 0.01 0.24 1.57 0.02
 -------- 02:00 0.11 0.01 0.20 1.54 0.02
 -------- 03:00 0.09 0.01 0.13 1.49 0.01
 -------- 04:00 0.08 0.01 0.12 1.51 0.01
 -------- 05:00 0.08 0.01 0.10 1.52 0.01
 03.05.13 06:00 0.08 0.01 0.12 1.53 0.01
 -------- 07:00 0.08 0.01 0.13 1.52 0.01
 -------- 08:00 0.08 0.01 0.13 1.49 0.02
 -------- 09:00 0.10 0.01 0.19 1.52 0.02
 -------- 10:00 0.11 0.01 0.20 1.55 0.03
 03.05.13 11:00 0.10 0.01 0.18 1.52 0.03
 -------- 12:00 0.09 0.01 0.17 1.49 0.02
 -------- 13:00 0.08 0.00 0.16 1.45 0.01
 -------- 14:00 0.08 0.01 0.13 1.44 0.01
 -------- 15:00 0.07 0.01 0.09 1.43 0.01
 03.05.13 16:00 0.06 0.01 0.05 1.42 0.01
 -------- 17:00 0.06 0.01 0.06 1.41 0.01
 -------- 18:00 0.07 0.01 0.06 1.41 0.00
 -------- 19:00 0.08 0.01 0.09 1.41 0.00
 -------- 20:00 0.08 0.01 0.11 1.42 0.01
 03.05.13 21:00 0.09 0.01 0.16 1.45 0.01
 -------- 22:00 0.12 0.01 0.25 1.50 0.02
 -------- 23:00 0.19 0.01 0.32 1.62 0.06
