 Date Time CO SO2 NO2 NO
 16.12.12 12:00 ---- 0.04 0.33 0.23
 -------- 13:00 ---- 0.05 0.37 0.23
 -------- 14:00 ---- 0.06 0.38 0.21
 -------- 15:00 ---- 0.06 0.39 0.19
 -------- 16:00 ---- 0.05 0.40 0.17
 16.12.12 17:00 ---- 0.05 0.40 0.18
 -------- 18:00 ---- 0.04 0.40 0.15
 -------- 19:00 ---- 0.03 0.38 0.10
 -------- 20:00 ---- 0.02 0.37 0.11
 -------- 21:00 ---- 0.02 0.38 0.13
 16.12.12 22:00 ---- 0.03 0.38 0.17
 -------- 23:00 ---- 0.04 0.38 0.20
 -------- 00:00 ---- 0.04 0.39 0.23
 -------- 01:00 ---- 0.03 0.37 0.18
 -------- 02:00 ---- 0.03 0.37 0.19
 17.12.12 03:00 ---- 0.03 0.35 0.15
 -------- 04:00 ---- 0.02 0.35 0.26
 -------- 05:00 ---- 0.02 0.38 0.43
 -------- 06:00 ---- 0.02 0.39 0.38
 -------- 07:00 ---- 0.02 0.42 0.58
 17.12.12 08:00 ---- 0.03 0.45 0.78
 -------- 09:00 ---- 0.02 0.48 0.78
 -------- 10:00 ---- 0.02 0.48 0.72
 -------- 11:00 ---- 0.03 0.55 0.93
 -------- 12:00 ---- 0.02 0.49 0.55
 17.12.12 13:00 ---- 0.01 0.47 0.34
 -------- 14:00 ---- 0.01 0.47 0.32
 -------- 15:00 0.11 0.01 0.42 0.17
 -------- 16:00 0.10 0.01 0.43 0.15
 -------- 17:00 0.09 0.01 0.41 0.10
 17.12.12 18:00 0.12 0.01 0.42 0.14
 -------- 19:00 0.09 0.01 0.36 0.06
 -------- 20:00 0.07 0.01 0.30 0.03
 -------- 21:00 0.08 0.01 0.34 0.07
 -------- 22:00 0.08 0.01 0.33 0.06
 17.12.12 23:00 0.08 0.01 0.30 0.05
 -------- 00:00 0.10 0.02 0.30 0.05
 -------- 01:00 0.09 0.01 0.30 0.06
 -------- 02:00 0.08 0.01 0.29 0.04
 -------- 03:00 0.08 0.01 0.29 0.04
 18.12.12 04:00 0.08 0.01 0.30 0.05
 -------- 05:00 0.09 0.01 0.29 0.05
 -------- 06:00 0.12 0.01 0.30 0.08
 -------- 07:00 0.13 0.01 0.31 0.12
 -------- 08:00 0.18 0.02 0.31 0.15
 18.12.12 09:00 0.15 0.01 0.33 0.14
 -------- 10:00 0.16 0.01 0.32 0.17
 -------- 11:00 0.17 0.01 0.31 0.18
