 Date Time CO SO2 NO2 CHX NO
 22.03.13 12:00 0.08 0.00 0.15 1.70 0.05
 -------- 13:00 0.06 0.01 0.09 1.76 0.03
 -------- 14:00 0.06 0.01 0.07 1.64 0.02
 -------- 15:00 0.07 0.00 0.09 1.54 0.02
 -------- 16:00 0.07 0.01 0.11 1.51 0.02
 22.03.13 17:00 0.08 0.01 0.12 1.50 0.02
 -------- 18:00 0.08 0.01 0.15 1.49 0.02
 -------- 19:00 0.08 0.01 0.20 1.50 0.03
 -------- 20:00 0.09 0.01 0.21 1.50 0.02
 -------- 21:00 0.08 0.01 0.17 1.49 0.02
 22.03.13 22:00 0.08 0.01 0.20 1.49 0.02
 -------- 23:00 0.09 0.01 0.24 1.57 0.05
 -------- 00:00 0.09 0.00 0.24 1.47 0.06
 -------- 01:00 0.07 0.00 0.16 1.44 0.02
 -------- 02:00 0.06 0.01 0.13 1.44 0.01
 23.03.13 03:00 0.06 0.01 0.11 1.44 0.01
 -------- 04:00 0.06 0.00 0.07 1.46 0.00
 -------- 05:00 0.06 0.01 0.09 1.47 0.00
 -------- 06:00 0.07 0.01 0.10 1.49 0.01
 -------- 07:00 0.07 0.00 0.12 1.48 0.01
 23.03.13 08:00 0.12 0.02 0.16 1.52 0.02
 -------- 09:00 0.09 0.01 0.15 1.50 0.02
 -------- 10:00 0.11 0.00 0.18 1.50 0.03
 -------- 11:00 0.07 0.01 0.13 1.47 0.03
 -------- 12:00 0.07 0.01 0.07 1.45 0.02
 23.03.13 13:00 0.06 0.01 0.04 1.45 0.01
 -------- 14:00 0.06 0.01 0.06 1.44 0.01
 -------- 15:00 0.07 0.01 0.04 1.45 0.01
 -------- 16:00 0.06 0.01 0.06 1.44 0.01
 -------- 17:00 0.06 0.01 0.06 1.44 0.01
 23.03.13 18:00 0.06 0.01 0.07 1.45 0.01
 -------- 19:00 0.06 0.01 0.09 1.45 0.01
 -------- 20:00 0.06 0.00 0.08 1.45 0.01
 -------- 21:00 0.06 0.01 0.10 1.45 0.01
 -------- 22:00 0.06 0.01 0.09 1.45 0.00
 23.03.13 23:00 0.06 0.01 0.09 1.46 0.00
 -------- 00:00 0.06 0.00 0.07 1.43 0.00
 -------- 01:00 0.05 0.01 0.06 1.41 0.00
 -------- 02:00 0.04 0.01 0.02 1.41 0.00
 -------- 03:00 0.05 0.01 0.01 1.41 ----
 24.03.13 04:00 0.04 0.00 ---- 1.38 ----
 -------- 05:00 0.04 0.00 ---- 1.38 ----
 -------- 06:00 0.04 0.01 ---- 1.38 ----
 -------- 07:00 0.04 0.01 0.01 1.37 ----
 -------- 08:00 0.06 0.01 0.02 1.38 0.00
 24.03.13 09:00 0.06 0.00 0.02 1.35 0.00
 -------- 10:00 0.06 0.01 0.03 1.36 0.00
 -------- 11:00 0.06 0.01 0.02 1.35 0.01
