 Date Time CO SO2 NO2 CHX NO
 13.01.13 12:00 0.10 0.02 0.22 1.68 0.07
 -------- 13:00 0.09 0.01 0.18 1.64 0.04
 -------- 14:00 0.08 0.01 0.14 1.96 0.02
 -------- 15:00 0.08 0.01 0.19 2.03 0.03
 -------- 16:00 0.08 0.01 0.18 1.74 0.02
 13.01.13 17:00 0.08 0.01 0.20 1.66 0.02
 -------- 18:00 0.08 0.01 0.20 1.91 0.01
 -------- 19:00 0.08 0.00 0.22 1.98 0.01
 -------- 20:00 0.07 0.01 0.18 1.71 0.01
 -------- 21:00 0.07 0.01 0.18 1.65 0.01
 13.01.13 22:00 0.07 0.01 0.19 1.66 0.01
 -------- 23:00 0.07 0.01 0.18 1.70 0.01
 -------- 00:00 0.06 0.01 0.18 1.67 0.01
 -------- 01:00 0.06 0.01 0.19 1.70 0.01
 -------- 02:00 0.06 0.01 0.17 1.69 0.00
 14.01.13 03:00 0.06 0.01 0.17 1.80 0.00
 -------- 04:00 0.06 0.01 0.16 2.39 0.00
 -------- 05:00 0.06 0.01 0.17 2.11 0.01
 -------- 06:00 0.13 0.01 0.18 2.16 0.01
 -------- 07:00 0.08 0.01 0.20 1.86 0.01
 14.01.13 08:00 0.12 0.01 0.24 1.71 0.04
 -------- 09:00 0.09 0.01 0.23 2.02 0.02
 -------- 10:00 0.11 0.01 0.30 1.68 0.10
 -------- 11:00 0.09 0.01 0.24 1.90 0.04
 -------- 12:00 0.07 0.01 0.24 2.09 0.05
 14.01.13 13:00 0.04 0.01 0.21 1.98 0.04
 -------- 14:00 0.04 0.01 0.20 1.89 0.03
 -------- 15:00 0.07 0.01 0.27 1.67 0.05
 -------- 16:00 0.07 0.00 0.34 1.54 0.09
 -------- 17:00 0.06 0.01 0.30 1.55 0.06
 14.01.13 18:00 0.06 0.00 0.30 1.53 0.05
 -------- 19:00 0.05 0.01 0.31 1.51 0.05
 -------- 20:00 0.04 0.01 0.30 1.50 0.04
 -------- 21:00 0.07 0.01 0.24 1.50 0.03
 -------- 22:00 0.07 0.01 0.15 1.50 0.01
 14.01.13 23:00 0.04 0.01 0.10 1.74 0.00
 -------- 00:00 0.04 0.01 0.09 1.84 0.00
 -------- 01:00 0.04 0.01 0.09 1.81 ----
 -------- 02:00 0.04 0.01 0.09 1.72 0.01
 -------- 03:00 0.05 0.01 0.10 1.57 0.01
 15.01.13 04:00 0.04 0.01 0.08 1.62 ----
 -------- 05:00 0.05 0.01 0.08 1.56 0.00
 -------- 06:00 0.06 0.01 0.12 1.62 0.01
 -------- 07:00 0.08 0.01 0.28 1.50 0.04
 -------- 08:00 ---- 0.01 0.32 1.52 0.05
 15.01.13 09:00 ---- 0.01 0.35 1.53 0.07
 -------- 10:00 ---- 0.01 0.32 1.55 0.06
 -------- 11:00 ---- 0.01 0.29 1.53 0.05
