 Date Time CO NO2 NO
 31.12.12 12:00 ---- 0.11 0.07
 -------- 13:00 ---- 0.10 0.07
 -------- 14:00 ---- 0.10 0.07
 -------- 15:00 0.02 0.10 0.07
 -------- 16:00 0.02 0.11 0.07
 31.12.12 17:00 0.02 0.11 0.06
 -------- 18:00 0.02 0.10 0.05
 -------- 19:00 ---- 0.10 0.06
 -------- 20:00 ---- 0.08 0.05
 -------- 21:00 ---- 0.08 0.04
 31.12.12 22:00 ---- 0.09 0.04
 -------- 23:00 ---- 0.07 0.04
 -------- 00:00 ---- 0.05 0.02
 -------- 01:00 ---- 0.05 0.03
 -------- 02:00 ---- 0.06 0.03
 01.01.13 03:00 ---- 0.05 0.03
 -------- 04:00 ---- 0.05 0.03
 -------- 05:00 ---- 0.05 0.03
 -------- 06:00 ---- 0.05 0.03
 -------- 07:00 ---- 0.05 0.02
 01.01.13 08:00 0.02 0.06 0.04
 -------- 09:00 0.02 0.07 0.04
 -------- 10:00 ---- 0.06 0.04
 -------- 11:00 ---- 0.06 0.05
 -------- 12:00 ---- 0.06 0.05
 01.01.13 13:00 0.02 0.06 0.05
 -------- 14:00 ---- 0.06 0.05
 -------- 15:00 ---- 0.05 0.04
 -------- 16:00 ---- 0.05 0.03
 -------- 17:00 ---- 0.06 0.04
 01.01.13 18:00 ---- 0.07 0.04
 -------- 19:00 ---- 0.07 0.04
 -------- 20:00 ---- 0.07 0.04
 -------- 21:00 ---- 0.07 0.05
 -------- 22:00 ---- 0.07 0.04
 01.01.13 23:00 ---- 0.07 0.04
 -------- 00:00 ---- 0.06 0.04
 -------- 01:00 ---- 0.04 0.04
 -------- 02:00 ---- 0.03 0.04
 -------- 03:00 ---- 0.04 0.05
 02.01.13 04:00 ---- 0.06 0.06
 -------- 05:00 ---- 0.07 0.04
 -------- 06:00 ---- 0.06 0.03
 -------- 07:00 ---- 0.06 0.05
 -------- 08:00 ---- 0.08 0.06
 02.01.13 09:00 ---- 0.07 0.04
 -------- 10:00 ---- 0.08 0.04
 -------- 11:00 ---- 0.09 0.05
