 Date Time CO NO2 NO
 06.11.12 00:00 0.03 0.03 0.02
 -------- 01:00 0.02 0.02 0.02
 -------- 02:00 0.02 0.02 0.02
 -------- 03:00 0.04 0.02 0.02
 -------- 04:00 0.02 0.02 0.02
 06.11.12 05:00 0.02 0.02 0.02
 -------- 06:00 0.04 0.03 0.02
 -------- 07:00 0.05 0.05 0.03
 -------- 08:00 0.07 0.07 0.04
 -------- 09:00 0.07 0.07 0.04
 06.11.12 10:00 0.07 0.08 0.05
 -------- 11:00 0.08 0.09 0.05
 -------- 12:00 0.08 0.09 0.05
 -------- 13:00 0.08 0.09 0.05
 -------- 14:00 0.09 0.10 0.06
 06.11.12 15:00 0.09 0.10 0.07
 -------- 16:00 0.04 0.07 0.02
 -------- 17:00 0.06 0.08 0.02
 -------- 18:00 0.07 0.12 0.03
 -------- 19:00 0.06 0.11 0.03
 06.11.12 20:00 0.05 0.07 0.03
 -------- 21:00 0.04 0.05 0.02
 -------- 22:00 0.04 0.04 0.02
 -------- 23:00 0.04 0.03 0.01
 -------- 00:00 0.02 0.02 0.01
 07.11.12 01:00 0.02 0.02 0.01
 -------- 02:00 0.02 0.02 0.01
 -------- 03:00 0.02 0.02 0.01
 -------- 04:00 0.02 0.01 0.00
 -------- 05:00 0.02 0.01 0.00
 07.11.12 06:00 0.04 0.03 0.01
 -------- 07:00 0.04 0.05 0.01
 -------- 08:00 0.05 0.07 0.02
 -------- 09:00 0.05 0.08 0.02
 -------- 10:00 0.05 0.07 0.02
 07.11.12 11:00 0.04 0.06 0.02
 -------- 12:00 0.04 0.06 0.01
 -------- 13:00 0.04 0.07 0.01
 -------- 14:00 0.04 0.07 0.02
 -------- 15:00 0.05 0.09 0.02
 07.11.12 16:00 0.04 0.08 0.03
 -------- 17:00 0.04 0.07 0.02
 -------- 18:00 0.05 0.09 0.02
 -------- 19:00 0.04 0.07 0.02
 -------- 20:00 0.05 0.06 0.02
 07.11.12 21:00 0.04 0.04 0.01
 -------- 22:00 0.03 0.04 0.01
 -------- 23:00 0.03 0.03 0.00
