 Date Time CO NO2 NO
 26.03.13 12:00 0.03 0.03 0.01
 -------- 13:00 0.02 0.02 0.00
 -------- 14:00 0.02 0.03 0.01
 -------- 15:00 0.02 0.05 0.01
 -------- 16:00 0.02 0.05 0.01
 26.03.13 17:00 0.03 0.05 0.01
 -------- 18:00 0.03 0.04 0.01
 -------- 19:00 0.05 0.10 0.02
 -------- 20:00 0.04 0.11 0.02
 -------- 21:00 0.05 0.10 0.03
 26.03.13 22:00 0.05 0.10 0.03
 -------- 23:00 0.04 0.13 0.03
 -------- 00:00 0.05 0.20 0.05
 -------- 01:00 0.07 0.25 0.07
 -------- 02:00 0.08 0.25 0.08
 27.03.13 03:00 0.07 0.22 0.06
 -------- 04:00 0.04 0.20 0.04
 -------- 05:00 0.04 0.21 0.04
 -------- 06:00 0.08 0.20 0.04
 -------- 07:00 0.07 0.19 0.04
 27.03.13 08:00 0.09 0.21 0.06
 -------- 09:00 0.07 0.16 0.05
 -------- 10:00 0.06 0.16 0.06
 -------- 11:00 0.06 0.15 0.05
 -------- 12:00 0.04 0.10 0.03
 27.03.13 13:00 0.04 0.09 0.03
 -------- 14:00 0.04 0.08 0.02
 -------- 15:00 0.04 0.08 0.02
 -------- 16:00 0.05 0.07 0.02
 -------- 17:00 0.04 0.08 0.02
 27.03.13 18:00 0.04 0.09 0.02
 -------- 19:00 0.04 0.10 0.02
 -------- 20:00 0.05 0.18 0.03
 -------- 21:00 0.06 0.17 0.03
 -------- 22:00 0.07 0.17 0.04
 27.03.13 23:00 0.07 0.16 0.04
 -------- 00:00 0.06 0.18 0.04
 -------- 01:00 0.07 0.20 0.07
 -------- 02:00 0.06 0.21 0.10
 -------- 03:00 0.04 0.07 0.02
 28.03.13 04:00 0.04 0.08 0.02
 -------- 05:00 0.04 0.09 0.02
 -------- 06:00 0.05 0.07 0.02
 -------- 07:00 0.07 0.16 0.04
 -------- 08:00 0.11 0.16 0.04
 28.03.13 09:00 0.05 0.13 0.03
 -------- 10:00 0.05 0.09 0.03
 -------- 11:00 0.05 0.10 0.03
