 Date Time CO NO2 NO
 15.02.13 00:00 0.03 0.19 0.05
 -------- 01:00 0.04 0.19 0.04
 -------- 02:00 0.02 0.19 0.04
 -------- 03:00 ---- 0.19 0.04
 -------- 04:00 ---- 0.19 0.05
 15.02.13 05:00 ---- 0.19 0.06
 -------- 06:00 0.03 0.19 0.07
 -------- 07:00 0.05 0.19 0.07
 -------- 08:00 0.04 0.19 0.05
 -------- 09:00 0.03 0.19 0.07
 15.02.13 10:00 0.02 0.19 0.08
 -------- 11:00 0.02 0.19 0.08
 -------- 12:00 0.02 0.18 0.07
 -------- 13:00 ---- 0.15 0.06
 -------- 14:00 ---- 0.11 0.03
 15.02.13 15:00 ---- 0.09 0.02
 -------- 16:00 ---- 0.09 0.02
