 Date Time CO NO2 NO
 11.10.12 00:00 0.04 0.06 0.03
 -------- 01:00 0.04 0.05 0.02
 -------- 02:00 0.03 0.04 0.02
 -------- 03:00 0.03 0.03 0.02
 -------- 04:00 0.02 0.04 0.02
 11.10.12 05:00 0.03 0.05 0.03
 -------- 06:00 0.05 0.07 0.04
 -------- 07:00 0.10 0.08 0.06
 -------- 08:00 0.09 0.10 0.07
 -------- 09:00 0.07 0.09 0.04
 11.10.12 10:00 0.07 0.11 0.05
 -------- 11:00 0.07 0.12 0.07
 -------- 12:00 0.06 0.09 0.05
 -------- 13:00 0.07 0.08 0.06
 -------- 14:00 0.06 0.09 0.05
 11.10.12 15:00 0.07 0.09 0.06
 -------- 16:00 0.07 0.09 0.06
 -------- 17:00 0.08 0.10 0.07
 -------- 18:00 0.08 0.11 0.08
 -------- 19:00 0.08 0.10 0.08
 11.10.12 20:00 0.08 0.11 0.08
 -------- 21:00 0.09 0.11 0.09
 -------- 22:00 0.11 0.10 0.07
 -------- 23:00 0.07 0.09 0.08
 -------- 00:00 0.07 0.09 0.07
 12.10.12 01:00 0.05 0.09 0.06
 -------- 02:00 0.05 0.11 0.06
 -------- 03:00 0.07 0.09 0.08
 -------- 04:00 0.04 0.08 0.05
 -------- 05:00 0.04 0.06 0.05
 12.10.12 06:00 0.05 0.09 0.06
 -------- 07:00 0.07 0.08 0.06
 -------- 08:00 0.08 0.08 0.08
 -------- 09:00 0.08 0.08 0.09
 -------- 10:00 0.09 0.10 0.10
 12.10.12 11:00 0.09 0.11 0.10
 -------- 12:00 0.09 0.13 0.10
 -------- 13:00 0.08 0.16 0.11
 -------- 14:00 0.11 0.18 0.13
 -------- 15:00 0.15 0.20 0.14
 12.10.12 16:00 0.13 0.24 0.15
 -------- 17:00 0.10 0.20 0.14
 -------- 18:00 0.10 0.17 0.13
 -------- 19:00 0.07 0.15 0.10
 -------- 20:00 0.07 0.14 0.08
 12.10.12 21:00 0.08 0.13 0.09
 -------- 22:00 0.07 0.13 0.06
 -------- 23:00 0.06 0.12 0.05
