 Date Time CO NO2 NO
 02.12.12 12:00 0.08 0.05 0.03
 -------- 13:00 0.07 0.06 0.03
 -------- 14:00 0.06 0.06 0.03
 -------- 15:00 0.05 0.07 0.03
 -------- 16:00 0.04 0.07 0.02
 03.12.12 16:00 0.04 0.16 0.03
 -------- 17:00 0.06 0.26 0.02
 -------- 18:00 0.08 0.17 0.01
 -------- 19:00 0.08 0.12 0.01
 -------- 20:00 0.08 0.08 0.01
 03.12.12 21:00 0.07 0.05 0.01
 -------- 22:00 0.08 0.05 0.00
 -------- 23:00 0.07 0.04 0.00
 -------- 00:00 0.06 0.04 0.00
 -------- 01:00 0.06 0.03 0.01
 04.12.12 02:00 0.05 0.03 0.01
 -------- 03:00 0.02 0.02 0.01
 -------- 04:00 0.02 0.02 0.01
 -------- 05:00 0.02 0.02 0.01
 -------- 06:00 0.03 0.02 0.01
 04.12.12 07:00 0.04 0.02 0.01
 -------- 08:00 0.04 0.03 0.01
 -------- 09:00 0.04 0.03 0.01
 -------- 10:00 0.06 0.05 0.02
 -------- 11:00 0.08 0.05 0.02
