 Date Time CO NO2 NO PM2.5
 30.04.13 12:00 0.07 0.13 0.03 ----
 -------- 13:00 0.07 0.14 0.04 ----
 -------- 14:00 0.06 0.12 0.03 ----
 -------- 15:00 0.07 0.12 0.03 ----
 -------- 16:00 0.07 0.12 0.03 ----
 30.04.13 17:00 0.06 0.10 0.03 ----
 -------- 18:00 0.05 0.12 0.03 ----
 -------- 19:00 0.05 0.13 0.03 ----
 -------- 20:00 0.05 0.12 0.02 ----
 -------- 21:00 0.08 0.15 0.04 ----
 30.04.13 22:00 0.07 0.15 0.04 ----
 -------- 23:00 0.06 0.14 0.02 ----
 -------- 00:00 0.04 0.09 0.01 ----
 -------- 01:00 0.04 0.07 0.01 ----
 -------- 02:00 0.04 0.07 0.01 ----
 01.05.13 03:00 0.04 0.07 0.01 ----
 -------- 04:00 0.04 0.06 0.01 ----
 -------- 05:00 0.04 0.06 0.01 ----
 -------- 06:00 0.04 0.07 0.01 ----
 -------- 07:00 0.04 0.08 0.01 ----
 01.05.13 08:00 0.04 0.07 0.01 ----
 -------- 09:00 0.04 0.06 0.01 ----
 -------- 10:00 0.04 0.06 0.01 ----
 -------- 11:00 0.04 0.07 0.01 ----
 -------- 12:00 0.04 0.09 0.02 ----
 01.05.13 13:00 0.04 0.11 0.02 ----
 -------- 14:00 0.04 0.11 0.01 ----
 -------- 15:00 0.04 0.11 0.01 ----
 -------- 16:00 0.04 0.10 0.01 ----
 -------- 17:00 0.04 0.09 0.01 ----
 01.05.13 18:00 0.04 0.08 0.01 ----
 -------- 19:00 0.04 0.06 0.01 ----
 -------- 20:00 0.05 0.06 0.01 ----
 -------- 21:00 0.07 0.11 0.01 ----
 -------- 22:00 0.09 0.23 0.03 ----
 01.05.13 23:00 0.16 0.25 0.11 ----
 -------- 00:00 0.15 0.24 0.09 ----
 -------- 01:00 0.16 0.21 0.10 ----
 -------- 02:00 0.15 0.23 0.10 ----
 -------- 03:00 0.11 0.20 0.05 ----
 02.05.13 04:00 0.09 0.19 0.03 ----
 -------- 05:00 0.09 0.19 0.04 ----
 -------- 06:00 0.11 0.18 0.08 ----
 -------- 07:00 0.21 0.18 0.19 ----
 -------- 08:00 0.09 0.19 0.06 ----
 02.05.13 09:00 0.07 0.15 0.03 ----
 -------- 10:00 0.04 0.12 0.02 ----
 -------- 11:00 0.03 0.09 0.01 ----
