 Date Time CO NO2 NO PM2.5
 03.03.13 00:00 0.05 0.22 0.16 ----
 -------- 01:00 0.06 0.22 0.25 ----
 -------- 02:00 0.09 0.23 0.36 ----
 -------- 03:00 0.10 0.21 0.30 ----
 -------- 04:00 0.10 0.22 0.37 ----
 03.03.13 05:00 0.12 0.23 0.42 ----
 -------- 06:00 0.12 0.22 0.34 ----
 -------- 07:00 0.10 0.20 0.27 ----
 -------- 08:00 0.09 0.19 0.19 ----
 -------- 09:00 ---- 0.20 0.19 ----
 03.03.13 10:00 ---- 0.23 0.18 ----
 -------- 11:00 0.02 0.19 0.10 ----
 -------- 12:00 ---- 0.14 0.04 ----
 -------- 13:00 ---- 0.12 0.02 ----
 -------- 14:00 ---- 0.14 0.03 ----
 03.03.13 15:00 ---- 0.14 0.03 ----
 -------- 16:00 ---- 0.14 0.03 ----
 -------- 17:00 ---- 0.13 0.02 ----
 -------- 18:00 ---- 0.11 0.01 ----
 -------- 19:00 ---- 0.08 0.01 ----
 03.03.13 20:00 ---- 0.11 0.01 ----
 -------- 21:00 ---- 0.09 0.01 ----
 -------- 22:00 ---- 0.10 0.01 ----
 -------- 23:00 ---- 0.07 0.01 ----
 -------- 00:00 ---- 0.04 0.00 ----
 04.03.13 01:00 ---- 0.03 0.00 ----
 -------- 02:00 ---- 0.02 0.00 ----
 -------- 03:00 ---- 0.03 0.00 ----
 -------- 04:00 ---- 0.03 0.00 ----
 -------- 05:00 ---- 0.03 0.00 ----
 04.03.13 06:00 ---- 0.02 ---- ----
 -------- 07:00 ---- 0.02 0.00 ----
 -------- 08:00 ---- 0.02 0.00 ----
 -------- 09:00 ---- 0.03 0.00 ----
 -------- 10:00 ---- 0.04 0.00 ----
 04.03.13 11:00 ---- 0.03 0.00 ----
 -------- 12:00 ---- 0.04 0.00 ----
 -------- 13:00 ---- 0.04 0.00 ----
 -------- 14:00 ---- 0.06 0.01 ----
 -------- 15:00 ---- 0.07 0.01 ----
 04.03.13 16:00 0.02 0.04 0.01 ----
 -------- 17:00 0.02 0.03 0.00 ----
 -------- 18:00 0.02 0.03 0.00 ----
 -------- 19:00 0.02 0.04 0.00 ----
 -------- 20:00 0.02 0.05 0.00 ----
 04.03.13 21:00 0.02 0.08 0.01 ----
 -------- 22:00 0.02 0.11 0.01 ----
 -------- 23:00 0.02 0.12 0.01 ----
