 Date Time CO NO2 NO PM2.5
 25.12.12 00:00 ---- 0.26 0.18 ----
 -------- 01:00 ---- 0.24 0.13 ----
 -------- 02:00 ---- 0.23 0.11 ----
 -------- 03:00 ---- 0.22 0.08 ----
 -------- 04:00 ---- 0.21 0.06 ----
 25.12.12 05:00 ---- 0.17 0.03 ----
 -------- 06:00 ---- 0.13 0.03 ----
 -------- 07:00 ---- 0.13 0.04 ----
 -------- 08:00 ---- 0.12 0.05 ----
 -------- 09:00 ---- 0.11 0.05 ----
 25.12.12 10:00 ---- 0.11 0.05 ----
 -------- 11:00 ---- 0.11 0.05 ----
 -------- 12:00 ---- 0.09 0.05 ----
 -------- 13:00 ---- 0.09 0.04 ----
 -------- 14:00 0.02 0.09 0.04 ----
 25.12.12 15:00 ---- 0.10 0.05 ----
 -------- 16:00 ---- 0.11 0.05 ----
 -------- 17:00 0.02 0.12 0.07 ----
 -------- 18:00 0.03 0.13 0.08 ----
 -------- 19:00 ---- 0.13 0.09 ----
 25.12.12 20:00 ---- 0.11 0.04 ----
 -------- 21:00 ---- 0.10 0.04 ----
 -------- 22:00 ---- 0.09 0.04 ----
 -------- 23:00 ---- 0.09 0.04 ----
 -------- 00:00 ---- 0.09 0.04 ----
 26.12.12 01:00 ---- 0.11 0.03 ----
 -------- 02:00 ---- 0.10 0.02 ----
 -------- 03:00 ---- 0.11 0.02 ----
 -------- 04:00 ---- 0.12 0.03 ----
 -------- 05:00 ---- 0.12 0.03 ----
 26.12.12 06:00 ---- 0.14 0.04 ----
 -------- 07:00 ---- 0.15 0.04 ----
 -------- 08:00 0.02 0.15 0.05 ----
 -------- 09:00 0.02 0.15 0.06 ----
 -------- 10:00 0.03 0.16 0.06 ----
 26.12.12 11:00 0.02 0.17 0.05 ----
 -------- 12:00 0.02 0.16 0.05 ----
 -------- 13:00 0.02 0.15 0.06 ----
 -------- 14:00 0.02 0.15 0.07 ----
 -------- 15:00 ---- 0.15 0.06 ----
 26.12.12 16:00 ---- 0.16 0.06 ----
 -------- 17:00 ---- 0.15 0.06 ----
 -------- 18:00 0.02 0.14 0.06 ----
 -------- 19:00 0.02 0.12 0.05 ----
 -------- 20:00 ---- 0.10 0.04 ----
 26.12.12 21:00 ---- 0.07 0.03 ----
 -------- 22:00 ---- 0.07 0.03 ----
 -------- 23:00 ---- 0.05 0.02 ----
