 Date Time CO NO2 NO
 18.09.12 00:00 0.34 0.07 0.50
 -------- 01:00 0.31 0.06 0.49
 -------- 02:00 0.30 0.04 0.48
 -------- 03:00 0.29 0.03 0.47
 -------- 04:00 0.21 0.04 0.43
 18.09.12 05:00 0.09 0.10 0.14
 -------- 06:00 0.09 0.11 0.12
 -------- 07:00 0.13 0.07 0.16
 -------- 08:00 0.18 0.05 0.20
 -------- 09:00 0.16 0.10 0.19
 18.09.12 10:00 0.15 0.14 0.17
 -------- 11:00 0.11 0.16 0.13
 -------- 12:00 0.07 0.12 0.09
 -------- 13:00 0.06 0.12 0.07
 -------- 14:00 0.06 0.15 0.07
 18.09.12 15:00 0.06 0.12 0.06
 -------- 16:00 0.06 0.14 0.06
 -------- 17:00 0.09 0.18 0.07
 -------- 18:00 0.08 0.17 0.06
 -------- 19:00 0.09 0.18 0.06
 18.09.12 20:00 0.09 0.15 0.06
 -------- 21:00 0.12 0.17 0.09
 -------- 22:00 0.17 0.17 0.13
 -------- 23:00 0.10 0.17 0.09
 -------- 00:00 0.10 0.17 0.08
 19.09.12 01:00 0.09 0.14 0.07
 -------- 02:00 0.09 0.12 0.07
 -------- 03:00 0.09 0.12 0.07
 -------- 04:00 0.08 0.10 0.06
 -------- 05:00 0.08 0.10 0.06
 19.09.12 06:00 0.09 0.10 0.09
 -------- 07:00 0.15 0.12 0.23
 -------- 08:00 0.19 0.19 0.21
 -------- 09:00 0.15 0.22 0.19
 -------- 10:00 0.11 0.19 0.13
 19.09.12 11:00 0.09 0.17 0.10
 -------- 12:00 0.08 0.15 0.08
 -------- 13:00 0.07 0.14 0.05
 -------- 14:00 0.05 0.10 0.02
 -------- 15:00 0.05 0.12 0.03
 19.09.12 16:00 0.05 0.12 0.03
 -------- 17:00 0.06 0.12 0.03
 -------- 18:00 0.05 0.14 0.04
 -------- 19:00 0.09 0.20 0.06
 -------- 20:00 0.13 0.26 0.09
 19.09.12 21:00 0.12 0.24 0.09
 -------- 22:00 0.11 0.23 0.09
 -------- 23:00 0.11 0.22 0.08
