 Date Time CO NO2 NO PM2.5
 14.04.13 00:00 0.17 0.38 0.19 ----
 -------- 01:00 0.14 0.38 0.17 ----
 -------- 02:00 0.18 0.36 0.23 ----
 -------- 03:00 0.17 0.34 0.17 ----
 -------- 04:00 0.21 0.33 0.18 ----
 14.04.13 05:00 0.12 0.33 0.14 ----
 -------- 06:00 0.09 0.30 0.08 ----
 -------- 07:00 0.08 0.28 0.06 ----
 -------- 08:00 0.08 0.32 0.08 ----
 -------- 09:00 0.07 0.30 0.07 ----
 14.04.13 10:00 0.09 0.25 0.05 ----
 -------- 11:00 0.07 0.24 0.05 ----
 -------- 12:00 0.09 0.26 0.05 ----
 -------- 13:00 0.08 0.23 0.04 ----
 -------- 14:00 0.06 0.22 0.03 ----
 14.04.13 15:00 0.06 0.18 0.02 ----
 -------- 16:00 0.06 0.18 0.02 ----
 -------- 17:00 0.06 0.16 0.02 ----
 -------- 18:00 0.07 0.21 0.02 ----
 -------- 19:00 0.08 0.21 0.02 ----
 14.04.13 20:00 0.10 0.20 0.02 ----
 -------- 21:00 0.15 0.33 0.13 ----
 -------- 22:00 0.22 0.44 0.25 ----
 -------- 23:00 0.14 0.47 0.19 ----
 -------- 00:00 0.23 0.45 0.39 ----
 15.04.13 01:00 0.16 0.42 0.25 ----
 -------- 02:00 0.13 0.41 0.19 ----
 -------- 03:00 0.15 0.41 0.29 ----
 -------- 04:00 0.16 0.36 0.27 ----
 -------- 05:00 0.13 0.37 0.23 ----
 15.04.13 06:00 0.24 0.35 0.55 ----
 -------- 07:00 0.20 0.36 0.33 ----
 -------- 08:00 0.18 0.38 0.32 ----
 -------- 09:00 0.13 0.30 0.14 ----
 -------- 10:00 0.08 0.23 0.05 ----
 15.04.13 11:00 0.07 0.20 0.04 ----
 -------- 12:00 0.06 0.19 0.03 ----
 -------- 13:00 0.05 0.18 0.03 ----
 -------- 14:00 0.05 0.19 0.03 ----
 -------- 15:00 0.06 0.19 0.03 ----
 15.04.13 16:00 0.05 0.18 0.02 ----
 -------- 17:00 0.06 0.16 0.02 ----
 -------- 18:00 0.07 0.19 0.02 ----
 -------- 19:00 0.09 0.25 0.03 ----
 -------- 20:00 0.10 0.28 0.04 ----
 15.04.13 21:00 0.18 0.42 0.16 ----
 -------- 22:00 0.21 0.43 0.21 ----
 -------- 23:00 0.23 0.41 0.25 ----
