 Date Time CO NO2 NO
 12.12.12 00:00 0.06 0.18 0.06
 -------- 01:00 0.06 0.18 0.08
 -------- 02:00 0.06 0.18 0.09
 -------- 03:00 0.06 0.18 0.06
 -------- 04:00 0.06 0.18 0.05
 12.12.12 05:00 0.06 0.18 0.07
 -------- 06:00 0.07 0.19 0.09
 -------- 07:00 0.07 0.19 0.07
 -------- 08:00 0.13 0.20 0.13
 -------- 09:00 0.11 0.20 0.12
 12.12.12 10:00 0.11 0.19 0.17
 -------- 11:00 0.11 0.18 0.16
 -------- 12:00 0.11 0.18 0.16
 -------- 13:00 0.12 0.18 0.18
 -------- 14:00 0.11 0.18 0.17
 12.12.12 15:00 0.09 0.18 0.13
 -------- 16:00 0.08 0.19 0.13
 -------- 17:00 0.09 0.20 0.14
 -------- 18:00 0.06 0.18 0.07
 -------- 19:00 0.08 0.18 0.07
 12.12.12 20:00 0.07 0.17 0.06
 -------- 21:00 0.07 0.17 0.05
 -------- 22:00 0.06 0.16 0.05
 -------- 23:00 0.04 0.15 0.04
 -------- 00:00 0.04 0.15 0.04
 13.12.12 01:00 0.04 0.13 0.02
 -------- 02:00 0.04 0.11 0.02
 -------- 03:00 0.03 0.09 0.01
 -------- 04:00 0.02 0.10 0.01
 -------- 05:00 0.02 0.08 0.01
 13.12.12 06:00 0.02 0.08 0.01
 -------- 07:00 0.04 0.11 0.02
 -------- 08:00 0.04 0.13 0.02
 -------- 09:00 0.05 0.13 0.02
 -------- 10:00 0.03 0.14 0.02
 13.12.12 11:00 0.02 0.13 0.02
 -------- 12:00 0.03 0.13 0.03
 -------- 13:00 0.04 0.12 0.03
 -------- 14:00 0.04 0.13 0.03
 -------- 15:00 0.04 0.14 0.03
 13.12.12 16:00 0.04 0.15 0.03
 -------- 17:00 0.02 0.16 0.03
 -------- 18:00 0.02 0.15 0.02
 -------- 19:00 0.05 0.14 0.02
 -------- 20:00 0.03 0.12 0.02
 13.12.12 21:00 ---- 0.11 0.02
 -------- 22:00 ---- 0.12 0.02
 -------- 23:00 ---- 0.13 0.02
