 Date Time CO NO2 NO PM2.5
 06.03.13 12:00 0.07 0.14 0.05 ----
 -------- 13:00 0.07 0.13 0.04 ----
 -------- 14:00 0.06 0.11 0.03 ----
 -------- 15:00 0.06 0.09 0.02 ----
 -------- 16:00 0.06 0.11 0.03 ----
 06.03.13 17:00 0.07 0.12 0.03 ----
 -------- 18:00 0.07 0.12 0.03 ----
 -------- 19:00 0.06 0.11 0.02 ----
 -------- 20:00 0.06 0.10 0.01 ----
 -------- 21:00 0.04 0.08 0.01 ----
 06.03.13 22:00 0.04 0.07 0.01 ----
 -------- 23:00 0.04 0.08 0.01 ----
 -------- 00:00 0.04 0.06 0.00 ----
 -------- 01:00 0.04 0.04 0.00 ----
 -------- 02:00 0.04 0.04 0.00 ----
 07.03.13 03:00 0.04 0.03 0.00 ----
 -------- 04:00 0.04 0.03 ---- ----
 -------- 05:00 0.04 0.03 0.00 ----
 -------- 06:00 0.04 0.04 0.00 ----
 -------- 07:00 0.04 0.03 0.00 ----
 07.03.13 08:00 0.05 0.05 0.00 ----
 -------- 09:00 0.04 0.06 0.01 ----
 -------- 10:00 0.04 0.04 0.01 ----
 -------- 11:00 0.04 0.03 0.01 ----
 -------- 12:00 0.04 0.03 0.01 ----
 07.03.13 13:00 0.04 0.03 0.00 ----
 -------- 14:00 0.04 0.04 0.01 ----
 -------- 15:00 0.04 0.06 0.01 ----
 -------- 16:00 0.05 0.06 0.01 ----
 -------- 17:00 0.05 0.05 0.01 ----
 07.03.13 18:00 0.04 0.03 0.00 ----
 -------- 19:00 0.04 0.06 0.01 ----
 -------- 20:00 0.05 0.06 0.01 ----
 -------- 21:00 0.04 0.04 0.00 ----
 -------- 22:00 0.04 0.03 0.00 ----
 07.03.13 23:00 0.04 0.02 0.00 ----
 -------- 00:00 0.03 0.02 0.00 ----
 -------- 01:00 0.02 0.02 0.00 ----
 -------- 02:00 0.02 0.02 0.00 ----
 -------- 03:00 0.02 0.01 ---- ----
 08.03.13 04:00 0.02 0.02 ---- ----
 -------- 05:00 0.02 0.01 ---- ----
 -------- 06:00 0.04 0.02 0.00 ----
 -------- 07:00 0.02 0.01 0.00 ----
 -------- 08:00 0.02 0.01 ---- ----
 08.03.13 09:00 0.02 0.01 0.00 ----
 -------- 10:00 0.04 0.01 0.00 ----
 -------- 11:00 0.03 0.01 0.00 ----
