 Date Time CO NO2 NO
 19.10.12 12:00 0.08 0.12 0.08
 -------- 13:00 0.09 0.11 0.09
 -------- 14:00 0.08 0.12 0.09
 -------- 15:00 0.09 0.12 0.09
 -------- 16:00 0.09 0.14 0.09
 19.10.12 17:00 0.13 0.14 0.10
 -------- 18:00 0.12 0.14 0.11
 -------- 19:00 0.11 0.14 0.10
 -------- 20:00 0.09 0.14 0.08
 -------- 21:00 0.07 0.10 0.05
 19.10.12 22:00 0.06 0.07 0.02
 -------- 23:00 0.06 0.06 0.02
 -------- 00:00 0.05 0.05 0.01
 -------- 01:00 0.04 0.04 0.02
 -------- 02:00 0.04 0.04 0.02
 20.10.12 03:00 0.04 0.04 0.02
 -------- 04:00 0.04 0.04 0.02
 -------- 05:00 0.04 0.04 0.02
 -------- 06:00 0.04 0.04 0.02
