 Date Time CO NO2 NO
 17.10.12 12:00 0.13 0.12 0.21
 -------- 13:00 0.13 0.13 0.21
 -------- 14:00 0.13 0.14 0.21
 -------- 15:00 0.13 0.18 0.20
 -------- 16:00 0.08 0.16 0.11
 17.10.12 17:00 0.09 0.20 0.10
 -------- 18:00 0.11 0.22 0.14
 -------- 19:00 0.15 0.22 0.20
 -------- 20:00 0.14 0.21 0.18
 -------- 21:00 0.11 0.18 0.11
 17.10.12 22:00 0.09 0.17 0.10
 -------- 23:00 0.09 0.18 0.09
 -------- 00:00 0.09 0.17 0.09
 -------- 01:00 0.07 0.13 0.08
 -------- 02:00 0.06 0.10 0.08
 18.10.12 03:00 0.05 0.08 0.08
 -------- 04:00 0.07 0.07 0.11
 -------- 05:00 0.08 0.07 0.13
 -------- 06:00 0.09 0.06 0.12
 -------- 07:00 0.21 0.07 0.36
 18.10.12 08:00 0.24 0.10 0.29
 -------- 09:00 0.09 0.09 0.12
 -------- 10:00 0.06 0.07 0.08
 -------- 11:00 0.04 0.07 0.07
 -------- 12:00 0.04 0.06 0.06
 18.10.12 13:00 0.04 0.07 0.05
 -------- 14:00 0.04 0.08 0.05
 -------- 15:00 0.05 0.09 0.05
 -------- 16:00 0.05 0.09 0.05
 -------- 17:00 0.06 0.10 0.06
 18.10.12 18:00 0.06 0.10 0.07
 -------- 19:00 0.05 0.09 0.06
 -------- 20:00 0.04 0.08 0.05
 -------- 21:00 0.04 0.07 0.05
 -------- 22:00 0.04 0.06 0.04
 18.10.12 23:00 0.04 0.07 0.04
 -------- 00:00 0.04 0.07 0.04
 -------- 01:00 0.04 0.06 0.04
 -------- 02:00 0.04 0.06 0.04
 -------- 03:00 0.03 0.06 0.04
 19.10.12 04:00 0.04 0.10 0.05
 -------- 05:00 0.04 0.13 0.06
 -------- 06:00 0.04 0.11 0.07
 -------- 07:00 0.09 0.10 0.12
 -------- 08:00 0.09 0.11 0.12
 19.10.12 09:00 0.07 0.13 0.10
 -------- 10:00 0.07 0.11 0.07
