 Date Time CO NO2 NO
 10.11.12 12:00 0.12 0.07 0.01
 -------- 13:00 0.04 0.07 0.01
 -------- 14:00 0.04 0.07 0.01
 -------- 15:00 0.03 0.05 0.01
 -------- 16:00 0.04 0.07 0.01
 10.11.12 17:00 0.05 0.12 0.01
 -------- 18:00 0.09 0.19 0.02
 -------- 19:00 0.09 0.17 0.05
 -------- 20:00 0.12 0.14 0.12
 -------- 21:00 0.23 0.13 0.32
 10.11.12 22:00 0.25 0.13 0.33
 -------- 23:00 0.20 0.12 0.26
 -------- 00:00 0.27 0.12 0.40
 -------- 01:00 0.23 0.10 0.36
 -------- 02:00 0.19 0.09 0.25
 11.11.12 03:00 0.15 0.08 0.20
 -------- 04:00 0.11 0.09 0.11
 -------- 05:00 0.11 0.11 0.09
 -------- 06:00 0.11 0.13 0.08
 -------- 07:00 0.15 0.13 0.14
 11.11.12 08:00 0.11 0.15 0.10
 -------- 09:00 0.11 0.16 0.10
 -------- 10:00 0.12 0.15 0.08
 -------- 11:00 0.10 0.12 0.06
 -------- 12:00 0.10 0.10 0.05
 11.11.12 13:00 0.08 0.09 0.04
 -------- 14:00 0.07 0.09 0.04
 -------- 15:00 0.07 0.10 0.03
 -------- 16:00 0.09 0.11 0.03
 -------- 17:00 0.12 0.13 0.04
 11.11.12 18:00 0.09 0.12 0.03
 -------- 19:00 0.08 0.13 0.03
 -------- 20:00 0.06 0.11 0.02
 -------- 21:00 0.06 0.09 0.02
 -------- 22:00 0.05 0.06 0.01
 11.11.12 23:00 0.05 0.05 0.01
 -------- 00:00 0.04 0.04 0.01
 -------- 01:00 0.04 0.03 0.00
 -------- 02:00 0.04 0.02 0.00
 -------- 03:00 0.04 0.02 0.00
 12.11.12 04:00 0.05 0.03 0.00
 -------- 05:00 0.04 0.03 0.01
 -------- 06:00 0.04 0.05 0.01
 -------- 07:00 0.05 0.05 0.02
 -------- 08:00 0.08 0.07 0.04
 12.11.12 09:00 0.06 0.07 0.03
 -------- 10:00 0.06 0.07 0.04
 -------- 11:00 0.06 0.07 0.04
