 Date Time CO NO2 NO
 02.12.12 00:00 0.11 0.06 0.09
 -------- 01:00 0.12 0.06 0.08
 -------- 02:00 0.09 0.06 0.07
 -------- 03:00 0.07 0.05 0.05
 -------- 04:00 0.08 0.05 0.05
 02.12.12 05:00 0.06 0.05 0.04
 -------- 06:00 0.04 0.02 0.01
 -------- 07:00 0.06 0.03 0.01
 -------- 08:00 0.04 0.05 0.01
 -------- 09:00 0.04 0.04 0.02
 02.12.12 10:00 0.04 0.05 0.01
 -------- 11:00 0.05 0.05 0.02
 -------- 12:00 0.08 0.06 0.03
 -------- 13:00 0.07 0.06 0.03
 -------- 14:00 0.06 0.06 0.03
 02.12.12 15:00 0.05 0.07 0.03
 -------- 16:00 0.04 0.07 0.02
 -------- 16:00 0.04 0.16 0.03
 -------- 17:00 0.06 0.26 0.02
 -------- 18:00 0.08 0.17 0.01
 03.12.12 19:00 0.08 0.12 0.01
 -------- 20:00 0.08 0.08 0.01
 -------- 21:00 0.07 0.05 0.01
