 Date Time CO NO2 NO
 04.03.13 00:00 ---- 0.04 0.00
 -------- 01:00 ---- 0.03 0.00
 -------- 02:00 ---- 0.02 0.00
 -------- 03:00 ---- 0.03 0.00
 -------- 04:00 ---- 0.03 0.00
 04.03.13 05:00 ---- 0.03 0.00
 -------- 06:00 ---- 0.02 ----
 -------- 07:00 ---- 0.02 0.00
 -------- 08:00 ---- 0.02 0.00
 -------- 09:00 ---- 0.03 0.00
 04.03.13 10:00 ---- 0.04 0.00
 -------- 11:00 ---- 0.03 0.00
 -------- 12:00 ---- 0.04 0.00
 -------- 13:00 ---- 0.04 0.00
 -------- 14:00 ---- 0.06 0.01
 04.03.13 15:00 ---- 0.07 0.01
 -------- 16:00 0.02 0.04 0.01
 -------- 17:00 0.02 0.03 0.00
 -------- 18:00 0.02 0.03 0.00
 -------- 19:00 0.02 0.04 0.00
 04.03.13 20:00 0.02 0.05 0.00
 -------- 21:00 0.02 0.08 0.01
 -------- 22:00 0.02 0.11 0.01
 -------- 23:00 0.02 0.12 0.01
 -------- 00:00 0.02 0.13 0.01
 05.03.13 01:00 0.02 0.10 0.01
 -------- 02:00 0.04 0.08 0.00
 -------- 03:00 0.04 0.07 0.00
 -------- 04:00 0.04 0.13 0.02
 -------- 05:00 0.11 0.22 0.11
 05.03.13 06:00 0.12 0.26 0.21
 -------- 07:00 0.15 0.29 0.20
 -------- 08:00 0.14 0.25 0.28
 -------- 09:00 0.26 0.27 0.50
 -------- 10:00 0.11 0.22 0.16
 05.03.13 11:00 0.07 0.17 0.07
 -------- 12:00 0.06 0.14 0.04
 -------- 13:00 0.10 0.17 0.08
