 Date Time CO NO2 NO PM2.5
 13.04.13 00:00 0.15 0.37 0.18 ----
 -------- 01:00 0.16 0.37 0.20 ----
 -------- 02:00 0.14 0.38 0.27 ----
 -------- 03:00 0.14 0.39 0.36 ----
 -------- 04:00 0.15 0.39 0.44 ----
 13.04.13 05:00 0.20 0.40 0.52 ----
 -------- 06:00 0.21 0.41 0.58 ----
 -------- 07:00 0.25 0.40 0.49 ----
 -------- 08:00 1.17 0.41 0.54 ----
 -------- 09:00 0.19 0.42 0.31 ----
 13.04.13 10:00 0.13 0.30 0.10 ----
 -------- 11:00 0.07 0.23 0.05 ----
 -------- 12:00 0.05 0.19 0.03 ----
 -------- 13:00 0.07 0.20 0.03 ----
 -------- 14:00 0.05 0.19 0.03 ----
 13.04.13 15:00 0.05 0.19 0.03 ----
 -------- 16:00 0.05 0.18 0.02 ----
 -------- 17:00 0.06 0.18 0.02 ----
 -------- 18:00 0.06 0.17 0.02 ----
 -------- 19:00 0.07 0.16 0.02 ----
 13.04.13 20:00 0.10 0.20 0.02 ----
 -------- 21:00 0.09 0.23 0.02 ----
 -------- 22:00 0.08 0.24 0.02 ----
 -------- 23:00 0.11 0.32 0.04 ----
 -------- 00:00 0.15 0.37 0.15 ----
 14.04.13 01:00 0.14 0.38 0.17 ----
 -------- 02:00 0.18 0.36 0.23 ----
 -------- 03:00 0.17 0.34 0.17 ----
 -------- 04:00 0.21 0.33 0.18 ----
 -------- 05:00 0.12 0.33 0.14 ----
 14.04.13 06:00 0.09 0.30 0.08 ----
 -------- 07:00 0.08 0.28 0.06 ----
 -------- 08:00 0.08 0.32 0.08 ----
 -------- 09:00 0.07 0.30 0.07 ----
 -------- 10:00 0.09 0.25 0.05 ----
 14.04.13 11:00 0.07 0.24 0.05 ----
 -------- 12:00 0.09 0.26 0.05 ----
