 Date Time CO NO2 NO PM2.5
 25.02.13 00:00 ---- 0.09 0.01 ----
 -------- 01:00 ---- 0.08 0.01 ----
 -------- 02:00 ---- 0.06 0.01 ----
 -------- 03:00 ---- 0.07 0.01 ----
 -------- 04:00 ---- 0.07 0.01 ----
 25.02.13 05:00 ---- 0.08 0.01 ----
 -------- 06:00 ---- 0.08 0.01 ----
 -------- 07:00 0.02 0.11 0.02 ----
 -------- 08:00 0.03 0.17 0.05 ----
 -------- 09:00 0.04 0.17 0.05 ----
 25.02.13 10:00 0.03 0.14 0.03 ----
 -------- 11:00 0.02 0.14 0.03 ----
 -------- 12:00 0.02 0.10 0.02 ----
 -------- 13:00 ---- 0.13 0.02 ----
 -------- 14:00 ---- 0.18 0.02 ----
 25.02.13 15:00 ---- 0.20 0.02 ----
 -------- 16:00 ---- 0.19 0.02 ----
 -------- 17:00 ---- 0.19 0.02 ----
 -------- 18:00 ---- 0.15 0.02 ----
 -------- 19:00 ---- 0.14 0.02 ----
 25.02.13 20:00 ---- 0.13 0.01 ----
 -------- 21:00 ---- 0.12 0.02 ----
 -------- 22:00 ---- 0.11 0.01 ----
 -------- 23:00 ---- 0.11 0.01 ----
 -------- 00:00 ---- 0.08 0.01 ----
 26.02.13 01:00 ---- 0.06 0.01 ----
 -------- 02:00 ---- 0.04 0.00 ----
 -------- 03:00 ---- 0.04 0.00 ----
 -------- 04:00 ---- 0.05 0.01 ----
 -------- 05:00 ---- 0.07 0.01 ----
 26.02.13 06:00 ---- 0.10 0.01 ----
 -------- 07:00 ---- 0.15 0.02 ----
 -------- 08:00 ---- 0.19 0.05 ----
 -------- 09:00 ---- 0.18 0.03 ----
 -------- 10:00 ---- 0.18 0.04 ----
 26.02.13 11:00 ---- 0.15 0.03 ----
 -------- 12:00 ---- 0.10 0.01 ----
 -------- 13:00 ---- 0.14 0.02 ----
 -------- 14:00 ---- 0.20 0.03 ----
 -------- 15:00 ---- 0.25 0.04 ----
 26.02.13 16:00 ---- 0.24 0.03 ----
 -------- 17:00 ---- 0.24 0.03 ----
 -------- 18:00 ---- 0.20 0.02 ----
 -------- 19:00 ---- 0.18 0.02 ----
 -------- 20:00 ---- 0.15 0.02 ----
 26.02.13 21:00 ---- 0.13 0.01 ----
 -------- 22:00 0.02 0.12 0.01 ----
 -------- 23:00 ---- 0.09 0.01 ----
