 Date Time CO NO2 NO
 14.12.12 00:00 ---- 0.12 0.02
 -------- 01:00 ---- 0.12 0.02
 -------- 02:00 ---- 0.10 0.02
 -------- 03:00 ---- 0.09 0.01
 -------- 04:00 ---- 0.09 0.02
 14.12.12 05:00 ---- 0.09 0.02
 -------- 06:00 0.03 0.10 0.02
 -------- 07:00 0.03 0.13 0.03
 -------- 08:00 0.04 0.14 0.05
 -------- 09:00 0.04 0.16 0.05
 14.12.12 10:00 0.04 0.16 0.05
 -------- 11:00 0.03 0.15 0.05
 -------- 12:00 0.03 0.16 0.07
 -------- 13:00 ---- 0.16 0.07
 -------- 14:00 ---- 0.16 0.07
 14.12.12 15:00 ---- 0.16 0.07
 -------- 16:00 ---- 0.16 0.05
 -------- 17:00 ---- 0.18 0.05
 -------- 18:00 ---- 0.19 0.05
 -------- 19:00 ---- 0.17 0.04
 14.12.12 20:00 ---- 0.19 0.04
 -------- 21:00 ---- 0.19 0.04
 -------- 22:00 0.02 0.17 0.03
 -------- 23:00 ---- 0.20 0.04
 -------- 00:00 ---- 0.19 0.05
 15.12.12 01:00 ---- 0.18 0.04
 -------- 02:00 ---- 0.17 0.03
 -------- 03:00 ---- 0.17 0.05
 -------- 04:00 ---- 0.17 0.04
 -------- 05:00 ---- 0.17 0.04
 15.12.12 06:00 ---- 0.16 0.04
 -------- 07:00 ---- 0.17 0.06
 -------- 08:00 0.02 0.17 0.08
 -------- 09:00 0.02 0.18 0.12
 -------- 10:00 0.02 0.19 0.17
 15.12.12 11:00 0.02 0.18 0.16
 -------- 12:00 0.02 0.16 0.13
 -------- 13:00 0.02 0.15 0.14
 -------- 14:00 0.04 0.17 0.13
 -------- 15:00 0.04 0.19 0.13
 15.12.12 16:00 0.04 0.20 0.14
 -------- 17:00 0.04 0.20 0.12
 -------- 18:00 0.03 0.20 0.12
 -------- 19:00 ---- 0.19 0.12
 -------- 20:00 ---- 0.18 0.10
 15.12.12 21:00 ---- 0.19 0.11
 -------- 22:00 ---- 0.19 0.12
 -------- 23:00 ---- 0.18 0.11
