 Date Time CO NO2 NO
 07.12.12 12:00 0.10 0.14 0.07
 -------- 13:00 0.09 0.16 0.10
 -------- 14:00 0.11 0.17 0.13
 -------- 15:00 0.09 0.16 0.13
 -------- 16:00 0.09 0.17 0.11
 07.12.12 17:00 0.08 0.17 0.10
 -------- 18:00 0.09 0.16 0.09
 -------- 19:00 0.08 0.16 0.09
 -------- 20:00 0.15 0.16 0.09
 -------- 21:00 0.08 0.14 0.07
 07.12.12 22:00 0.06 0.12 0.04
 -------- 23:00 0.06 0.10 0.04
 -------- 00:00 0.06 0.10 0.03
 -------- 01:00 0.06 0.09 0.03
 -------- 02:00 0.04 0.08 0.02
 08.12.12 03:00 0.04 0.08 0.02
 -------- 04:00 0.04 0.07 0.02
 -------- 05:00 0.04 0.07 0.02
 -------- 06:00 0.05 0.07 0.02
 -------- 07:00 0.07 0.08 0.02
 08.12.12 08:00 0.08 0.09 0.04
 -------- 09:00 0.09 0.09 0.04
 -------- 10:00 0.07 0.10 0.06
 -------- 11:00 0.08 0.10 0.08
 -------- 12:00 0.09 0.11 0.11
 08.12.12 13:00 0.16 0.13 0.15
 -------- 14:00 0.16 0.15 0.22
 -------- 15:00 0.18 0.16 0.27
 -------- 16:00 0.19 0.16 0.30
 -------- 17:00 0.16 0.14 0.25
 08.12.12 18:00 0.11 0.11 0.15
 -------- 19:00 0.09 0.10 0.09
 -------- 20:00 0.07 0.10 0.07
 -------- 21:00 0.11 0.10 0.11
 -------- 22:00 0.12 0.11 0.17
 08.12.12 23:00 0.13 0.10 0.17
 -------- 00:00 0.14 0.13 0.29
 -------- 01:00 0.14 0.12 0.27
 -------- 02:00 0.14 0.12 0.26
 -------- 03:00 0.15 0.11 0.26
 09.12.12 04:00 0.13 0.11 0.24
 -------- 05:00 0.14 0.09 0.25
 -------- 06:00 0.17 0.10 0.31
 -------- 07:00 0.17 0.12 0.38
 -------- 08:00 0.15 0.10 0.24
 09.12.12 09:00 0.10 0.08 0.12
 -------- 10:00 0.07 0.07 0.09
 -------- 11:00 0.07 0.07 0.07
