 Date Time CO NO2 NO
 08.01.13 00:00 ---- 0.01 0.01
 -------- 01:00 ---- 0.02 0.01
 -------- 02:00 ---- 0.01 0.01
 -------- 03:00 ---- 0.01 0.01
 -------- 04:00 ---- 0.01 0.01
 08.01.13 05:00 ---- 0.01 0.01
 -------- 06:00 ---- 0.01 0.01
 -------- 07:00 0.02 0.02 0.01
 -------- 08:00 ---- 0.02 0.01
 -------- 09:00 ---- 0.03 0.02
 08.01.13 10:00 ---- 0.04 0.02
 -------- 11:00 0.02 0.04 0.02
 -------- 12:00 0.02 0.04 0.02
 -------- 13:00 0.02 0.07 0.04
 -------- 14:00 ---- 0.09 0.05
 08.01.13 15:00 ---- 0.08 0.04
 -------- 16:00 ---- 0.06 0.03
 -------- 17:00 ---- 0.08 0.03
 -------- 18:00 ---- 0.11 0.04
 -------- 19:00 ---- 0.08 0.02
 08.01.13 20:00 ---- 0.06 0.02
 -------- 21:00 ---- 0.07 0.02
 -------- 22:00 ---- 0.07 0.02
 -------- 23:00 ---- 0.08 0.02
 -------- 00:00 ---- 0.09 0.02
 09.01.13 01:00 ---- 0.08 0.02
 -------- 02:00 ---- 0.07 0.02
 -------- 03:00 ---- 0.04 0.02
 -------- 04:00 ---- 0.03 0.01
 -------- 05:00 ---- 0.06 0.02
 09.01.13 06:00 ---- 0.06 0.02
 -------- 07:00 ---- 0.10 0.04
 -------- 08:00 0.02 0.10 0.09
 -------- 09:00 0.04 0.10 0.12
 -------- 10:00 0.02 0.10 0.11
 09.01.13 11:00 0.02 0.10 0.17
 -------- 12:00 0.02 0.11 0.11
 -------- 13:00 ---- 0.09 0.06
 -------- 14:00 ---- 0.09 0.05
 -------- 15:00 ---- 0.10 0.05
 09.01.13 16:00 ---- 0.12 0.07
 -------- 17:00 ---- 0.15 0.12
 -------- 18:00 ---- 0.15 0.11
 -------- 19:00 ---- 0.12 0.08
 -------- 20:00 ---- 0.12 0.08
 09.01.13 21:00 ---- 0.10 0.05
 -------- 22:00 ---- 0.09 0.05
 -------- 23:00 ---- 0.07 0.03
