 Date Time CO NO2 NO
 12.11.12 23:00 0.04 0.04 0.00
 -------- 00:00 0.04 0.06 0.01
 -------- 01:00 0.04 0.05 0.01
 -------- 02:00 0.04 0.03 0.01
 -------- 03:00 0.04 0.02 0.00
 13.11.12 04:00 0.04 0.02 0.00
 -------- 05:00 0.04 0.02 0.00
 -------- 06:00 0.04 0.04 0.01
 -------- 07:00 0.06 0.07 0.01
 -------- 08:00 0.09 0.12 0.05
 13.11.12 09:00 0.09 0.14 0.06
 -------- 10:00 0.06 0.12 0.04
 -------- 11:00 0.04 0.06 0.01
 -------- 12:00 0.04 0.06 0.01
 -------- 13:00 0.04 0.06 0.01
 13.11.12 14:00 0.04 0.06 0.01
 -------- 15:00 0.04 0.07 0.01
 -------- 16:00 0.04 0.07 0.01
 -------- 17:00 0.05 0.10 0.02
 -------- 18:00 0.04 0.09 0.01
 13.11.12 19:00 0.04 0.07 0.01
 -------- 20:00 0.05 0.08 0.01
 -------- 21:00 0.04 0.07 0.00
 -------- 22:00 0.04 0.03 0.00
 -------- 23:00 0.04 0.02 0.00
 14.11.12 00:00 0.02 0.02 0.00
 -------- 01:00 0.02 0.01 ----
 -------- 02:00 0.02 ---- ----
 -------- 03:00 0.02 0.01 0.00
 -------- 04:00 0.02 0.02 0.00
 14.11.12 05:00 0.02 0.02 0.00
 -------- 06:00 0.02 0.02 0.00
 -------- 07:00 0.06 0.03 0.00
 -------- 08:00 0.04 0.05 0.00
 -------- 09:00 0.05 0.08 0.01
 14.11.12 10:00 0.04 0.06 0.01
 -------- 11:00 0.04 0.06 0.01
 -------- 12:00 0.04 0.05 0.00
 -------- 13:00 0.04 0.05 0.00
 -------- 14:00 0.05 0.06 0.01
 14.11.12 15:00 0.04 0.06 0.01
 -------- 16:00 0.04 0.05 0.01
 -------- 17:00 0.05 0.05 0.00
 -------- 18:00 0.04 0.05 0.00
 -------- 19:00 0.04 0.04 0.00
 14.11.12 20:00 0.04 0.04 0.00
 -------- 21:00 0.04 0.05 0.00
 -------- 22:00 0.03 0.04 0.00
