 Date Time CO NO2 NO
 01.10.12 12:00 0.04 0.05 0.02
 -------- 13:00 0.04 0.06 0.02
 -------- 14:00 0.04 0.06 0.03
 -------- 15:00 0.04 0.07 0.03
 -------- 16:00 0.04 0.06 0.03
 01.10.12 17:00 0.04 0.07 0.03
 -------- 18:00 0.04 0.08 0.03
 -------- 19:00 0.05 0.10 0.03
 -------- 20:00 0.07 0.13 0.05
 -------- 21:00 0.06 0.12 0.05
 01.10.12 22:00 0.05 0.10 0.04
 -------- 23:00 0.05 0.11 0.05
 -------- 00:00 0.05 0.10 0.05
 -------- 01:00 0.04 0.12 0.06
 -------- 02:00 0.04 0.10 0.05
 02.10.12 03:00 0.04 0.09 0.05
 -------- 04:00 0.04 0.10 0.05
 -------- 05:00 0.04 0.08 0.05
 -------- 06:00 0.06 0.09 0.09
 -------- 07:00 0.11 0.10 0.15
 02.10.12 08:00 0.13 0.10 0.16
 -------- 09:00 0.13 0.13 0.19
 -------- 10:00 0.11 0.13 0.17
 -------- 11:00 0.07 0.11 0.12
 -------- 12:00 0.05 0.10 0.08
 02.10.12 13:00 0.05 0.11 0.07
 -------- 14:00 0.03 0.10 0.06
 -------- 15:00 0.05 0.12 0.06
 -------- 16:00 0.06 0.12 0.05
 -------- 17:00 0.10 0.17 0.07
 02.10.12 18:00 0.10 0.16 0.07
 -------- 19:00 0.08 0.15 0.07
 -------- 20:00 0.06 0.12 0.05
 -------- 21:00 0.13 0.16 0.11
 -------- 22:00 0.14 0.19 0.12
 02.10.12 23:00 0.09 0.19 0.09
 -------- 00:00 0.07 0.18 0.08
 -------- 01:00 0.07 0.15 0.07
 -------- 02:00 0.06 0.15 0.06
 -------- 03:00 0.06 0.18 0.06
 03.10.12 04:00 0.04 0.12 0.06
 -------- 05:00 0.04 0.12 0.05
 -------- 06:00 0.07 0.13 0.06
 -------- 07:00 0.08 0.12 0.08
 -------- 08:00 0.13 0.13 0.11
 03.10.12 09:00 0.10 0.12 0.10
 -------- 10:00 0.10 0.13 0.11
 -------- 11:00 0.10 0.13 0.12
