 Date Time CO NO2 NO
 09.12.12 00:00 0.14 0.13 0.32
 -------- 01:00 0.14 0.12 0.27
 -------- 02:00 0.14 0.12 0.26
 -------- 03:00 0.15 0.11 0.26
 -------- 04:00 0.13 0.11 0.24
 09.12.12 05:00 0.14 0.09 0.25
 -------- 06:00 0.17 0.10 0.31
 -------- 07:00 0.17 0.12 0.38
 -------- 08:00 0.15 0.10 0.24
 -------- 09:00 0.10 0.08 0.12
 09.12.12 10:00 0.07 0.07 0.09
 -------- 11:00 0.07 0.07 0.07
 -------- 12:00 0.07 0.06 0.05
 -------- 13:00 0.08 0.06 0.05
 -------- 14:00 0.07 0.06 0.04
 09.12.12 15:00 0.09 0.06 0.04
 -------- 16:00 0.07 0.07 0.05
 -------- 17:00 0.10 0.09 0.06
 -------- 18:00 0.10 0.09 0.06
 -------- 19:00 0.11 0.11 0.06
 09.12.12 20:00 0.13 0.13 0.07
 -------- 21:00 0.25 0.12 0.13
 -------- 22:00 0.23 0.15 0.36
 -------- 23:00 0.18 0.11 0.17
 -------- 00:00 0.11 0.10 0.06
 10.12.12 01:00 0.12 0.17 0.30
 -------- 02:00 0.14 0.15 0.31
 -------- 03:00 0.15 0.16 0.36
 -------- 04:00 0.13 0.17 0.29
 -------- 05:00 0.10 0.17 0.17
 10.12.12 06:00 0.12 0.17 0.13
 -------- 07:00 0.24 0.18 0.18
 -------- 08:00 0.17 0.18 0.18
 -------- 09:00 0.15 0.16 0.15
 -------- 10:00 0.11 0.15 0.12
 10.12.12 11:00 0.08 0.12 0.07
 -------- 12:00 0.08 0.12 0.09
 -------- 13:00 0.09 0.12 0.09
 -------- 14:00 0.08 0.12 0.10
 -------- 15:00 0.08 0.10 0.07
 10.12.12 16:00 0.08 0.10 0.07
 -------- 17:00 0.08 0.11 0.09
 -------- 18:00 0.08 0.12 0.10
 -------- 19:00 0.09 0.12 0.10
 -------- 20:00 0.08 0.11 0.08
 10.12.12 21:00 0.07 0.11 0.06
 -------- 22:00 0.07 0.13 0.05
 -------- 23:00 0.04 0.08 0.02
