 Date Time CO NO2 NO
 26.09.12 12:00 0.04 0.06 0.05
 -------- 13:00 0.06 0.09 0.06
 -------- 14:00 0.05 0.07 0.05
 -------- 15:00 0.06 0.09 0.06
 -------- 16:00 0.06 0.09 0.05
 26.09.12 17:00 0.05 0.09 0.05
 -------- 18:00 0.07 0.11 0.05
 -------- 19:00 0.07 0.15 0.07
 -------- 20:00 0.08 0.14 0.10
 -------- 21:00 0.11 0.12 0.15
 26.09.12 22:00 0.14 0.11 0.22
 -------- 23:00 0.17 0.09 0.25
 -------- 00:00 0.14 0.08 0.23
 -------- 01:00 0.17 0.07 0.29
 -------- 02:00 0.19 0.05 0.41
 27.09.12 03:00 0.16 0.05 0.39
 -------- 04:00 0.15 0.03 0.37
 -------- 05:00 0.13 0.03 0.34
 -------- 06:00 0.13 0.03 0.39
 -------- 07:00 0.17 0.05 0.60
 27.09.12 08:00 0.65 0.09 1.01
 -------- 09:00 0.29 0.12 0.63
 -------- 10:00 0.27 0.19 0.53
 -------- 11:00 0.17 0.24 0.31
 -------- 12:00 0.11 0.22 0.18
 27.09.12 13:00 0.10 0.21 0.15
 -------- 14:00 0.08 0.22 0.14
 -------- 15:00 0.08 0.23 0.12
 -------- 16:00 0.08 0.20 0.10
 -------- 17:00 0.09 0.22 0.12
 27.09.12 18:00 0.10 0.24 0.12
 -------- 19:00 0.13 0.25 0.13
 -------- 20:00 0.11 0.24 0.10
 -------- 21:00 0.11 0.24 0.10
 -------- 22:00 0.09 0.20 0.08
 27.09.12 23:00 0.07 0.14 0.07
 -------- 00:00 0.06 0.11 0.06
 -------- 01:00 0.06 0.09 0.05
 -------- 02:00 0.06 0.09 0.05
 -------- 03:00 0.04 0.08 0.05
 28.09.12 04:00 0.04 0.07 0.05
 -------- 05:00 0.04 0.07 0.05
 -------- 06:00 0.05 0.09 0.05
 -------- 07:00 0.09 0.14 0.06
 -------- 08:00 0.13 0.18 0.09
 28.09.12 09:00 0.09 0.17 0.08
 -------- 10:00 0.09 0.17 0.08
 -------- 11:00 0.09 0.15 0.06
