 Date Time CO NO2 NO PM2.5
 15.04.13 12:00 0.06 0.18 0.03 ----
 -------- 13:00 0.05 0.18 0.03 ----
 -------- 14:00 0.05 0.19 0.03 ----
 -------- 15:00 0.06 0.19 0.03 ----
 -------- 16:00 0.05 0.18 0.02 ----
 15.04.13 17:00 0.06 0.16 0.02 ----
 -------- 18:00 0.07 0.19 0.02 ----
 -------- 19:00 0.09 0.25 0.03 ----
 -------- 20:00 0.10 0.28 0.04 ----
 -------- 21:00 0.18 0.42 0.16 ----
 15.04.13 22:00 0.21 0.43 0.21 ----
 -------- 23:00 0.23 0.41 0.25 ----
 -------- 00:00 0.19 0.37 0.21 ----
 -------- 01:00 0.14 0.29 0.09 ----
 -------- 02:00 0.11 0.25 0.06 ----
 16.04.13 03:00 0.15 0.26 0.12 ----
 -------- 04:00 0.13 0.26 0.08 ----
 -------- 05:00 0.11 0.23 0.10 ----
 -------- 06:00 0.18 0.24 0.14 ----
 -------- 07:00 0.24 0.25 0.22 ----
 16.04.13 08:00 0.31 0.26 0.35 ----
 -------- 09:00 0.15 0.32 0.09 ----
 -------- 10:00 0.08 0.24 0.04 ----
 -------- 11:00 0.09 0.21 0.03 ----
 -------- 12:00 0.07 0.18 0.03 ----
 16.04.13 13:00 0.06 0.15 0.02 ----
 -------- 14:00 0.05 0.16 0.02 ----
 -------- 15:00 0.06 0.17 0.02 ----
 -------- 16:00 0.06 0.15 0.02 ----
 -------- 17:00 0.06 0.13 0.02 ----
 16.04.13 18:00 0.06 0.12 0.01 ----
 -------- 19:00 0.07 0.10 0.01 ----
 -------- 20:00 0.06 0.11 0.01 ----
 -------- 21:00 0.07 0.15 0.02 ----
 -------- 22:00 0.10 0.20 0.03 ----
 16.04.13 23:00 0.26 0.34 0.33 ----
 -------- 00:00 0.23 0.28 0.29 ----
 -------- 01:00 0.15 0.27 0.18 ----
 -------- 02:00 0.14 0.23 0.14 ----
 -------- 03:00 0.14 0.21 0.12 ----
 17.04.13 04:00 0.15 0.22 0.23 ----
 -------- 05:00 0.11 0.17 0.16 ----
 -------- 06:00 0.16 0.17 0.27 ----
 -------- 07:00 0.40 0.25 0.53 ----
 -------- 08:00 0.37 0.21 0.54 ----
 17.04.13 09:00 0.17 0.29 0.13 ----
 -------- 10:00 0.13 0.28 0.09 ----
 -------- 11:00 0.08 0.18 0.05 ----
