 Date Time CO NO2 NO
 04.11.12 12:00 0.07 0.06 0.03
 -------- 13:00 0.08 0.06 0.03
 -------- 14:00 0.06 0.06 0.03
 -------- 15:00 0.07 0.06 0.03
 -------- 16:00 0.06 0.07 0.03
 04.11.12 17:00 0.06 0.07 0.03
 -------- 18:00 0.07 0.08 0.03
 -------- 19:00 0.07 0.07 0.03
 -------- 20:00 0.06 0.06 0.03
 -------- 21:00 0.05 0.05 0.02
 04.11.12 22:00 0.05 0.04 0.02
 -------- 23:00 0.04 0.03 0.01
 -------- 00:00 0.03 0.06 0.01
 -------- 01:00 0.03 0.05 0.01
 -------- 02:00 0.04 0.02 0.01
 05.11.12 03:00 0.02 0.02 0.01
 -------- 04:00 0.03 0.02 0.01
 -------- 05:00 0.02 0.02 0.01
 -------- 06:00 0.02 0.02 0.01
 -------- 07:00 0.03 0.03 0.01
 05.11.12 08:00 0.05 0.07 0.02
 -------- 09:00 0.05 0.10 0.02
 -------- 10:00 0.09 0.11 0.07
 -------- 11:00 0.08 0.10 0.07
 -------- 12:00 0.08 0.07 0.04
 05.11.12 13:00 0.09 0.09 0.04
 -------- 14:00 0.07 0.13 0.04
 -------- 15:00 0.10 0.17 0.05
 -------- 16:00 0.11 0.22 0.11
 -------- 17:00 0.12 0.23 0.13
 05.11.12 18:00 0.10 0.20 0.09
 -------- 19:00 0.10 0.18 0.08
 -------- 20:00 0.10 0.17 0.09
 -------- 21:00 0.08 0.17 0.05
 -------- 22:00 0.07 0.14 0.03
 05.11.12 23:00 0.04 0.06 0.03
 -------- 00:00 0.03 0.03 0.03
 -------- 01:00 0.02 0.02 0.02
 -------- 02:00 0.02 0.02 0.02
 -------- 03:00 0.04 0.02 0.02
 06.11.12 04:00 0.02 0.02 0.02
 -------- 05:00 0.02 0.02 0.02
 -------- 06:00 0.04 0.03 0.02
 -------- 07:00 0.05 0.05 0.03
 -------- 08:00 0.07 0.07 0.04
 06.11.12 09:00 0.07 0.07 0.04
 -------- 10:00 0.07 0.08 0.05
 -------- 11:00 0.08 0.09 0.05
