 Date Time CO NO2 NO PM2.5
 28.01.13 00:00 0.08 0.22 0.36 ----
 -------- 01:00 0.11 0.20 0.36 ----
 -------- 02:00 0.10 0.20 0.11 ----
 -------- 03:00 0.05 0.19 0.06 ----
 -------- 04:00 ---- 0.19 0.05 ----
 28.01.13 05:00 ---- 0.19 0.07 ----
 -------- 06:00 ---- 0.19 0.09 ----
 -------- 07:00 0.04 0.22 0.17 ----
 -------- 08:00 0.10 0.27 0.32 ----
 -------- 09:00 0.07 0.28 0.30 ----
 28.01.13 10:00 0.06 0.29 0.35 ----
 -------- 11:00 0.08 0.28 0.37 ----
 -------- 12:00 0.06 0.24 0.21 ----
 -------- 13:00 0.04 0.21 0.15 ----
 -------- 14:00 ---- 0.17 0.10 ----
 28.01.13 15:00 ---- 0.16 0.08 ----
 -------- 16:00 ---- 0.15 0.07 ----
 -------- 17:00 ---- 0.18 0.08 ----
 -------- 18:00 ---- 0.18 0.08 ----
 -------- 19:00 ---- 0.14 0.06 ----
 28.01.13 20:00 ---- 0.14 0.05 ----
 -------- 21:00 ---- 0.14 0.05 ----
 -------- 22:00 ---- 0.12 0.04 ----
 -------- 23:00 ---- 0.11 0.04 ----
 -------- 00:00 ---- 0.10 0.04 ----
 29.01.13 01:00 ---- 0.10 0.03 ----
 -------- 02:00 ---- 0.09 0.03 ----
 -------- 03:00 ---- 0.10 0.03 ----
 -------- 04:00 ---- 0.09 0.02 ----
 -------- 05:00 ---- 0.09 0.02 ----
 29.01.13 06:00 ---- 0.10 0.04 ----
 -------- 07:00 ---- 0.13 0.06 ----
 -------- 08:00 0.02 0.15 0.09 ----
 -------- 09:00 0.06 0.17 0.10 ----
 -------- 10:00 ---- 0.18 0.11 ----
 29.01.13 11:00 ---- 0.17 0.12 ----
 -------- 12:00 ---- 0.15 0.09 ----
 -------- 13:00 ---- 0.16 0.10 ----
 -------- 14:00 ---- 0.14 0.08 ----
 -------- 15:00 ---- 0.14 0.08 ----
 29.01.13 16:00 ---- 0.15 0.08 ----
 -------- 17:00 ---- 0.17 0.10 ----
 -------- 18:00 ---- 0.19 0.12 ----
 -------- 19:00 ---- 0.19 0.09 ----
 -------- 20:00 ---- 0.18 0.08 ----
 29.01.13 21:00 ---- 0.18 0.07 ----
 -------- 22:00 ---- 0.16 0.06 ----
 -------- 23:00 ---- 0.15 0.05 ----
