 Date Time CO NO2 NO
 25.03.13 12:00 0.04 0.02 0.01
 -------- 13:00 0.04 0.02 0.00
 -------- 14:00 0.04 0.02 0.00
 -------- 15:00 0.03 0.01 0.00
 -------- 16:00 0.03 0.02 0.00
 25.03.13 17:00 0.03 0.02 0.00
 -------- 18:00 0.04 0.03 0.00
 -------- 19:00 0.03 0.02 0.00
 -------- 20:00 0.04 0.02 0.00
 -------- 21:00 0.05 0.02 0.01
 25.03.13 22:00 0.03 0.02 0.00
 -------- 23:00 0.03 0.01 0.00
 -------- 00:00 0.02 0.01 ----
 -------- 01:00 0.02 0.01 ----
 -------- 02:00 0.02 0.01 ----
 26.03.13 03:00 0.02 0.01 ----
 -------- 04:00 0.02 0.01 ----
 -------- 05:00 0.02 0.01 ----
 -------- 06:00 0.04 0.01 ----
 -------- 07:00 0.06 0.02 0.00
 26.03.13 08:00 0.10 0.03 0.01
 -------- 09:00 0.05 0.03 0.01
 -------- 10:00 0.04 0.04 0.01
 -------- 11:00 0.03 0.06 0.02
 -------- 12:00 0.03 0.03 0.01
 26.03.13 13:00 0.02 0.02 0.00
 -------- 14:00 0.02 0.03 0.01
 -------- 15:00 0.02 0.05 0.01
 -------- 16:00 0.02 0.05 0.01
 -------- 17:00 0.03 0.05 0.01
 26.03.13 18:00 0.03 0.04 0.01
 -------- 19:00 0.05 0.10 0.02
 -------- 20:00 0.04 0.11 0.02
 -------- 21:00 0.05 0.10 0.03
 -------- 22:00 0.05 0.10 0.03
 26.03.13 23:00 0.04 0.13 0.03
 -------- 00:00 0.05 0.20 0.05
 -------- 01:00 0.07 0.25 0.07
 -------- 02:00 0.08 0.25 0.08
 -------- 03:00 0.07 0.22 0.06
 27.03.13 04:00 0.04 0.20 0.04
 -------- 05:00 0.04 0.21 0.04
 -------- 06:00 0.08 0.20 0.04
 -------- 07:00 0.07 0.19 0.04
 -------- 08:00 0.09 0.21 0.06
 27.03.13 09:00 0.07 0.16 0.05
 -------- 10:00 0.06 0.16 0.06
 -------- 11:00 0.06 0.15 0.05
