 Date Time CO NO2 NO
 29.01.13 12:00 ---- 0.15 0.10
 -------- 13:00 ---- 0.16 0.10
 -------- 14:00 ---- 0.14 0.08
 -------- 15:00 ---- 0.14 0.08
 -------- 16:00 ---- 0.15 0.08
 29.01.13 17:00 ---- 0.17 0.10
 -------- 18:00 ---- 0.19 0.12
 -------- 19:00 ---- 0.19 0.09
 -------- 20:00 ---- 0.18 0.08
 -------- 21:00 ---- 0.18 0.07
 29.01.13 22:00 ---- 0.16 0.06
 -------- 23:00 ---- 0.16 0.05
 -------- 00:00 ---- 0.17 0.05
 -------- 01:00 ---- 0.16 0.04
 -------- 02:00 ---- 0.16 0.03
 30.01.13 03:00 ---- 0.17 0.04
 -------- 04:00 ---- 0.17 0.04
 -------- 05:00 ---- 0.17 0.05
 -------- 06:00 ---- 0.18 0.08
 -------- 07:00 0.02 0.18 0.11
 30.01.13 08:00 0.03 0.19 0.17
 -------- 09:00 0.06 0.20 0.20
 -------- 10:00 0.09 0.21 0.25
 -------- 11:00 0.10 0.20 0.24
 -------- 12:00 0.08 0.20 0.23
 30.01.13 13:00 0.08 0.23 0.27
 -------- 14:00 0.10 0.23 0.27
 -------- 15:00 0.07 0.21 0.23
 -------- 16:00 ---- 0.19 0.14
 -------- 17:00 ---- 0.19 0.13
 30.01.13 18:00 ---- 0.18 0.11
 -------- 19:00 ---- 0.18 0.12
 -------- 20:00 ---- 0.18 0.12
 -------- 21:00 ---- 0.17 0.09
 -------- 22:00 ---- 0.13 0.05
 30.01.13 23:00 ---- 0.11 0.04
 -------- 00:00 ---- 0.09 0.04
 -------- 01:00 ---- 0.07 0.02
 -------- 02:00 ---- 0.05 0.03
 -------- 03:00 ---- 0.05 0.02
 31.01.13 04:00 ---- 0.05 0.02
 -------- 05:00 ---- 0.06 0.03
 -------- 06:00 ---- 0.09 0.04
 -------- 07:00 0.02 0.11 0.05
 -------- 08:00 0.02 0.12 0.07
 31.01.13 09:00 0.02 0.12 0.07
 -------- 10:00 0.02 0.13 0.09
 -------- 11:00 0.02 0.14 0.10
