 Date Time CO NO2 NO
 27.09.12 12:00 0.10 0.21 0.17
 -------- 13:00 0.10 0.21 0.15
 -------- 14:00 0.08 0.22 0.14
 -------- 15:00 0.08 0.23 0.12
 -------- 16:00 0.08 0.20 0.10
 27.09.12 17:00 0.09 0.22 0.12
 -------- 18:00 0.10 0.24 0.12
 -------- 19:00 0.13 0.25 0.13
 -------- 20:00 0.11 0.24 0.10
 -------- 21:00 0.11 0.24 0.10
 27.09.12 22:00 0.09 0.20 0.08
 -------- 23:00 0.07 0.14 0.07
 -------- 00:00 0.06 0.11 0.06
 -------- 01:00 0.06 0.09 0.05
 -------- 02:00 0.06 0.09 0.05
 28.09.12 03:00 0.04 0.08 0.05
 -------- 04:00 0.04 0.07 0.05
 -------- 05:00 0.04 0.07 0.05
 -------- 06:00 0.05 0.09 0.05
 -------- 07:00 0.09 0.14 0.06
 28.09.12 08:00 0.13 0.18 0.09
 -------- 09:00 0.09 0.17 0.08
 -------- 10:00 0.09 0.17 0.08
 -------- 11:00 0.09 0.15 0.06
 -------- 12:00 0.06 0.13 0.04
 28.09.12 13:00 0.07 0.14 0.03
 -------- 14:00 0.07 0.15 0.03
 -------- 15:00 0.06 0.15 0.02
 -------- 16:00 0.08 0.18 0.03
 -------- 17:00 0.11 0.24 0.05
 28.09.12 18:00 0.15 0.24 0.07
 -------- 19:00 0.10 0.21 0.07
 -------- 20:00 0.09 0.19 0.07
 -------- 21:00 0.05 0.10 0.05
 -------- 22:00 0.04 0.07 0.03
 28.09.12 23:00 0.03 0.06 0.03
 -------- 00:00 0.03 0.05 0.03
 -------- 01:00 0.03 0.04 0.03
 -------- 02:00 0.04 0.05 0.03
 -------- 03:00 0.04 0.04 0.04
 29.09.12 04:00 0.03 0.04 0.04
 -------- 05:00 0.02 0.03 0.03
 -------- 06:00 0.03 0.03 0.03
 -------- 07:00 0.04 0.04 0.03
 -------- 08:00 0.04 0.07 0.04
 29.09.12 09:00 0.05 0.09 0.04
 -------- 10:00 0.05 0.08 0.05
 -------- 11:00 0.04 0.06 0.03
