 Date Time CO NO2 CHX NO
 05.10.12 00:00 0.03 0.12 1.49 ----
 -------- 01:00 0.02 0.12 1.49 ----
 -------- 02:00 0.02 0.13 1.49 ----
 -------- 03:00 0.02 0.11 1.47 ----
 -------- 04:00 0.04 0.25 2.02 0.02
 05.10.12 05:00 0.04 0.26 2.39 0.03
 -------- 06:00 0.05 0.26 1.88 0.04
 -------- 07:00 0.15 0.33 1.81 0.22
 -------- 08:00 0.16 0.34 1.60 0.17
 -------- 09:00 0.13 0.33 1.60 0.09
 05.10.12 10:00 0.04 0.32 1.66 0.11
 -------- 11:00 0.04 0.31 1.74 0.11
 -------- 12:00 ---- 0.23 1.60 0.06
 -------- 13:00 ---- 0.23 1.61 0.07
 -------- 14:00 ---- 0.26 1.60 0.05
 05.10.12 15:00 ---- 0.25 1.57 0.05
 -------- 16:00 ---- 0.28 1.59 0.04
 -------- 17:00 ---- 0.18 1.52 0.00
 -------- 18:00 ---- 0.20 1.54 0.00
 -------- 19:00 0.04 0.17 1.50 0.00
 05.10.12 20:00 0.06 0.19 1.50 0.00
 -------- 21:00 0.04 0.17 1.50 0.00
 -------- 22:00 0.05 0.18 1.50 0.00
 -------- 23:00 0.04 0.18 1.52 0.00
 -------- 00:00 0.04 0.20 1.71 0.00
 06.10.12 01:00 0.03 0.16 1.65 0.01
 -------- 02:00 0.02 0.09 1.46 ----
 -------- 03:00 0.02 0.10 1.46 ----
 -------- 04:00 0.02 0.10 1.47 0.00
 -------- 05:00 0.02 0.11 1.50 ----
 06.10.12 06:00 0.03 0.10 1.50 ----
 -------- 07:00 0.03 0.14 1.47 0.00
 -------- 08:00 0.05 0.19 1.60 0.02
 -------- 09:00 0.05 0.17 1.54 0.02
 -------- 10:00 0.04 0.15 1.51 0.02
 06.10.12 11:00 0.04 0.13 1.48 0.01
 -------- 12:00 0.04 0.12 1.48 0.01
 -------- 13:00 0.04 0.13 1.56 0.01
 -------- 14:00 0.04 0.13 1.66 0.01
 -------- 15:00 0.05 0.13 1.58 0.01
 06.10.12 16:00 0.03 0.13 1.55 0.00
 -------- 17:00 0.02 0.08 1.46 0.00
 -------- 18:00 0.02 0.07 1.46 ----
 -------- 19:00 0.02 0.06 1.47 ----
 -------- 20:00 0.02 0.07 1.47 0.00
 06.10.12 21:00 0.02 0.08 1.47 ----
 -------- 22:00 0.02 0.09 1.47 ----
 -------- 23:00 0.02 0.09 1.47 ----
