 Date Time CO NO2 CHX NO
 28.01.13 12:00 0.09 0.32 1.64 0.06
 -------- 13:00 0.09 0.29 1.65 0.06
 -------- 14:00 0.10 0.31 1.65 0.07
 -------- 15:00 0.11 0.33 1.67 0.08
 -------- 16:00 0.09 0.30 1.65 0.04
 28.01.13 17:00 0.08 0.29 1.65 0.03
 -------- 18:00 0.08 0.31 1.67 0.02
 -------- 19:00 0.09 0.30 1.67 0.01
 -------- 20:00 0.08 0.30 1.67 0.02
 -------- 21:00 0.09 0.29 1.67 0.01
 28.01.13 22:00 0.08 0.30 1.67 0.01
 -------- 23:00 0.07 0.29 1.66 0.01
 -------- 00:00 0.06 0.27 1.65 0.01
 -------- 01:00 0.04 0.26 1.64 0.00
 -------- 02:00 0.04 0.23 1.65 0.00
 29.01.13 03:00 0.04 0.24 1.65 0.00
 -------- 04:00 0.03 0.24 1.63 0.00
 -------- 05:00 0.03 0.23 1.63 0.00
 -------- 06:00 0.08 0.31 1.66 0.02
 -------- 07:00 0.07 0.34 1.71 0.03
 29.01.13 08:00 0.12 0.37 1.75 0.10
 -------- 09:00 0.14 0.38 1.75 0.11
 -------- 10:00 0.16 0.38 1.77 0.14
 -------- 11:00 0.14 0.35 1.78 0.12
 -------- 12:00 0.09 0.30 1.76 0.08
 29.01.13 13:00 0.08 0.28 1.74 0.06
 -------- 14:00 0.07 0.27 1.74 0.06
 -------- 15:00 0.07 0.29 1.77 0.07
 -------- 16:00 0.09 0.29 1.73 0.06
 -------- 17:00 0.10 0.33 1.74 0.07
 29.01.13 18:00 0.08 0.35 1.72 0.04
 -------- 19:00 0.08 0.35 1.72 0.04
 -------- 20:00 0.09 0.31 1.71 0.02
 -------- 21:00 0.09 0.36 1.73 0.05
 -------- 22:00 0.07 0.33 1.70 0.02
 29.01.13 23:00 0.06 0.34 1.71 0.02
 -------- 00:00 0.06 0.37 1.72 0.05
 -------- 01:00 0.05 0.34 1.69 0.03
 -------- 02:00 0.03 0.29 1.65 0.01
 -------- 03:00 0.05 0.31 1.66 0.03
 30.01.13 04:00 0.04 0.29 1.68 0.02
 -------- 05:00 0.03 0.32 1.67 0.04
 -------- 06:00 0.05 0.33 1.69 0.04
 -------- 07:00 0.05 0.34 1.74 0.07
 -------- 08:00 0.10 0.36 1.77 0.10
 30.01.13 09:00 0.10 0.36 1.79 0.11
 -------- 10:00 0.11 0.34 1.78 0.11
 -------- 11:00 0.10 0.31 1.75 0.12
