 Date Time CO NO2 CHX NO
 16.03.13 00:00 0.07 0.26 1.58 0.01
 -------- 01:00 0.06 0.20 1.57 0.00
 -------- 02:00 0.06 0.21 1.61 0.00
 -------- 03:00 0.06 0.19 1.58 0.00
 -------- 04:00 0.06 0.19 1.56 0.00
 16.03.13 05:00 0.06 0.19 1.58 0.00
 -------- 06:00 0.06 0.24 1.59 0.01
 -------- 07:00 0.07 0.25 1.60 0.01
 -------- 08:00 0.08 0.26 1.60 0.02
 -------- 09:00 0.09 0.27 1.59 0.02
 16.03.13 10:00 0.10 0.27 1.59 0.03
 -------- 11:00 0.10 0.26 1.61 0.04
 -------- 12:00 0.11 0.23 1.60 0.04
 -------- 13:00 0.09 0.18 1.59 0.02
 -------- 14:00 0.08 0.11 1.61 0.01
 16.03.13 15:00 0.08 0.11 1.63 0.01
 -------- 16:00 0.09 0.12 1.61 0.01
 -------- 17:00 0.08 0.12 1.59 0.01
 -------- 18:00 0.09 0.15 1.59 0.00
 -------- 19:00 0.10 0.17 1.60 0.00
 16.03.13 20:00 0.08 0.17 1.61 0.00
 -------- 21:00 0.09 0.17 1.64 0.00
 -------- 22:00 0.09 0.17 1.65 0.00
 -------- 23:00 0.08 0.16 1.60 0.00
 -------- 00:00 0.08 0.13 1.59 0.00
 17.03.13 01:00 0.08 0.11 1.60 0.00
 -------- 02:00 0.08 0.10 1.58 0.00
 -------- 03:00 0.06 0.08 1.55 ----
 -------- 04:00 0.06 0.06 1.54 ----
 -------- 05:00 0.06 0.08 1.54 0.00
 17.03.13 06:00 0.06 0.08 1.54 ----
 -------- 07:00 0.06 0.10 1.55 0.00
 -------- 08:00 0.06 0.11 1.54 0.00
 -------- 09:00 0.06 0.11 1.55 0.00
 -------- 10:00 0.06 0.10 1.54 0.01
 17.03.13 11:00 0.06 0.09 1.54 0.01
 -------- 12:00 0.06 0.10 1.54 0.01
 -------- 13:00 0.06 0.10 1.54 0.01
 -------- 14:00 0.05 0.09 1.54 0.01
 -------- 15:00 0.05 0.08 1.54 0.01
 17.03.13 16:00 0.06 0.12 1.54 0.01
 -------- 17:00 0.06 0.13 1.54 0.01
 -------- 18:00 0.06 0.15 1.54 0.01
 -------- 19:00 0.06 0.18 1.56 0.01
 -------- 20:00 0.07 0.24 1.58 0.00
 17.03.13 21:00 0.08 0.29 1.58 0.01
 -------- 22:00 0.08 0.28 1.61 0.00
 -------- 23:00 0.08 0.29 1.59 0.00
