 Date Time CO NO2 CHX NO
 24.03.13 00:00 0.06 0.14 1.54 ----
 -------- 01:00 0.04 0.13 1.55 0.00
 -------- 02:00 0.04 0.12 1.54 0.00
 -------- 03:00 0.04 0.09 1.52 ----
 -------- 04:00 0.04 0.08 1.52 ----
 24.03.13 05:00 0.04 0.07 1.52 ----
 -------- 06:00 0.04 0.08 1.52 ----
 -------- 07:00 0.04 0.09 1.51 ----
 -------- 08:00 0.04 0.10 1.51 ----
 -------- 09:00 0.04 0.10 1.51 0.00
 24.03.13 10:00 0.04 0.09 1.51 0.01
 -------- 11:00 0.04 0.10 1.51 0.01
 -------- 12:00 0.04 0.10 1.52 0.01
 -------- 13:00 0.04 0.13 1.52 0.01
 -------- 14:00 0.04 0.12 1.52 0.01
 24.03.13 15:00 0.04 0.09 1.50 0.01
 -------- 16:00 0.04 0.10 1.50 0.01
 -------- 17:00 0.04 0.11 1.51 0.01
 -------- 18:00 0.04 0.10 1.51 0.00
 -------- 19:00 0.04 0.10 1.51 0.00
 24.03.13 20:00 0.04 0.10 1.51 0.00
 -------- 21:00 0.04 0.13 1.52 0.01
 -------- 22:00 0.04 0.19 1.53 ----
 -------- 23:00 0.04 0.19 1.53 0.00
 -------- 00:00 0.04 0.18 1.53 0.00
 25.03.13 01:00 0.04 0.15 1.52 ----
 -------- 02:00 0.04 0.10 1.51 ----
 -------- 03:00 0.04 0.09 1.50 0.00
 -------- 04:00 0.04 0.08 1.50 ----
 -------- 05:00 0.04 0.09 1.50 ----
 25.03.13 06:00 0.04 0.13 1.51 0.01
 -------- 07:00 0.07 0.18 1.54 0.00
 -------- 08:00 0.06 0.19 1.53 0.02
 -------- 09:00 0.07 0.19 1.53 0.02
 -------- 10:00 0.06 0.18 1.54 0.02
 25.03.13 11:00 0.05 0.14 1.53 0.02
 -------- 12:00 0.05 0.13 1.53 0.02
 -------- 13:00 0.05 0.10 1.52 0.01
 -------- 14:00 0.05 0.14 1.53 0.02
 -------- 15:00 0.04 0.12 1.52 0.02
 25.03.13 16:00 0.05 0.15 1.53 0.02
 -------- 17:00 0.05 0.13 1.54 0.02
 -------- 18:00 0.06 0.18 1.55 0.03
 -------- 19:00 0.06 0.20 1.55 0.01
 -------- 20:00 0.06 0.25 1.61 0.00
 25.03.13 21:00 0.07 0.23 1.75 0.00
 -------- 22:00 0.06 0.17 1.59 0.00
 -------- 23:00 0.06 0.16 1.56 0.00
