 Date Time CO NO2 CHX NO
 16.04.13 12:00 ---- 0.31 1.67 0.03
 -------- 13:00 0.06 0.16 1.60 0.01
 -------- 14:00 0.04 0.09 1.56 0.00
 -------- 15:00 0.03 0.09 1.54 0.00
 -------- 16:00 0.02 0.09 1.53 0.00
 16.04.13 17:00 0.02 0.10 1.52 0.00
 -------- 18:00 0.02 0.10 1.54 0.00
 -------- 19:00 ---- 0.11 1.53 0.00
 -------- 20:00 0.02 0.20 1.57 0.00
 -------- 21:00 0.03 0.34 1.65 0.00
 16.04.13 22:00 0.07 0.43 1.66 0.00
 -------- 23:00 0.12 0.62 1.78 0.06
 -------- 00:00 0.28 0.69 1.91 0.38
 -------- 01:00 0.27 0.70 2.17 0.51
 -------- 02:00 0.29 0.72 2.49 0.66
 17.04.13 03:00 0.23 0.64 2.29 0.45
 -------- 04:00 0.21 0.62 2.41 0.44
 -------- 05:00 0.49 0.58 2.62 0.48
 -------- 06:00 0.26 0.56 2.43 0.54
 -------- 07:00 0.31 0.66 2.34 0.73
 17.04.13 08:00 0.39 0.70 2.48 0.71
 -------- 09:00 0.19 0.58 2.55 0.24
 -------- 10:00 0.15 0.50 1.95 0.13
 -------- 11:00 0.10 0.27 1.67 0.05
 -------- 12:00 0.06 0.10 1.56 0.01
 17.04.13 13:00 0.06 0.12 1.58 0.01
 -------- 14:00 0.06 0.10 1.58 0.01
 -------- 15:00 0.06 0.09 1.55 0.01
 -------- 16:00 0.06 0.09 1.54 0.00
 -------- 17:00 0.06 0.08 1.53 0.00
 17.04.13 18:00 0.06 0.09 1.53 0.00
 -------- 19:00 0.06 0.10 1.53 0.00
 -------- 20:00 0.09 0.21 1.57 0.00
 -------- 21:00 0.14 0.58 2.26 0.01
 -------- 22:00 0.13 0.56 2.46 0.01
 17.04.13 23:00 0.12 0.58 2.34 0.01
 -------- 00:00 0.10 0.43 2.28 0.00
 -------- 01:00 0.10 0.44 2.33 0.00
 -------- 02:00 0.08 0.49 1.87 0.00
 -------- 03:00 0.08 0.42 1.90 0.00
 18.04.13 04:00 0.08 0.39 1.93 0.00
 -------- 05:00 0.08 0.36 2.05 0.00
 -------- 06:00 0.09 0.41 2.15 0.00
 -------- 07:00 0.11 0.48 1.93 0.02
 -------- 08:00 0.10 0.42 1.67 0.02
 18.04.13 09:00 0.08 0.27 1.60 0.01
 -------- 10:00 0.08 0.22 1.59 0.01
 -------- 11:00 0.08 0.21 1.60 0.01
