 Date Time CO NO2 CHX NO
 18.04.13 00:00 0.10 0.41 2.29 0.00
 -------- 01:00 0.10 0.44 2.33 0.00
 -------- 02:00 0.08 0.49 1.87 0.00
 -------- 03:00 0.08 0.42 1.90 0.00
 -------- 04:00 0.08 0.39 1.93 0.00
 18.04.13 05:00 0.08 0.36 2.05 0.00
 -------- 06:00 0.09 0.41 2.15 0.00
 -------- 07:00 0.11 0.48 1.93 0.02
 -------- 08:00 0.10 0.42 1.67 0.02
 -------- 09:00 0.08 0.27 1.60 0.01
 18.04.13 10:00 0.08 0.22 1.59 0.01
 -------- 11:00 0.08 0.21 1.60 0.01
 -------- 12:00 0.07 0.17 1.58 0.01
 -------- 13:00 0.07 0.13 1.89 0.01
 -------- 14:00 0.06 0.10 1.62 0.01
 18.04.13 15:00 0.06 0.09 1.54 0.01
 -------- 16:00 0.06 0.09 1.53 0.00
 -------- 17:00 0.06 0.08 1.51 0.00
 -------- 18:00 0.06 0.09 1.51 0.00
 -------- 19:00 0.08 0.15 1.56 0.00
 18.04.13 20:00 0.08 0.22 1.57 0.00
 -------- 21:00 0.11 0.39 1.64 0.02
 -------- 22:00 0.16 0.67 2.40 0.07
 -------- 23:00 0.13 0.67 3.15 0.07
 -------- 00:00 0.11 0.61 2.79 0.03
 19.04.13 01:00 0.08 0.42 2.52 0.00
 -------- 02:00 0.08 0.37 2.30 0.00
 -------- 03:00 0.08 0.37 2.35 0.00
 -------- 04:00 0.08 0.35 2.07 0.00
 -------- 05:00 0.08 0.36 2.24 0.00
 19.04.13 06:00 0.09 0.36 2.13 0.00
 -------- 07:00 0.11 0.45 2.08 0.01
 -------- 08:00 0.13 0.45 2.08 0.03
 -------- 09:00 0.12 0.35 1.94 0.03
 -------- 10:00 0.09 0.25 1.77 0.02
 19.04.13 11:00 0.08 0.16 1.60 0.01
 -------- 12:00 0.08 0.10 1.56 0.01
 -------- 13:00 0.08 0.08 1.53 0.00
 -------- 14:00 0.08 0.07 1.53 0.00
 -------- 15:00 0.08 0.08 1.54 0.00
 19.04.13 16:00 0.08 0.08 1.54 0.00
 -------- 17:00 0.08 0.08 1.53 0.00
 -------- 18:00 0.08 0.09 1.52 0.00
 -------- 19:00 0.08 0.10 1.52 0.00
 -------- 20:00 0.09 0.16 1.53 0.00
 19.04.13 21:00 0.09 0.20 1.55 0.00
 -------- 22:00 0.10 0.27 1.56 0.00
 -------- 23:00 0.09 0.25 1.58 0.00
