 Date Time CO NO2 CHX NO
 25.01.13 12:00 0.04 0.24 1.61 0.05
 -------- 13:00 0.04 0.20 1.60 0.04
 -------- 14:00 0.03 0.17 1.60 0.03
 -------- 15:00 0.03 0.19 1.60 0.03
 -------- 16:00 0.03 0.20 1.60 0.02
 25.01.13 17:00 0.03 0.27 1.62 0.02
 -------- 18:00 0.04 0.32 1.65 0.03
 -------- 19:00 0.05 0.35 1.62 0.03
 -------- 20:00 0.05 0.35 1.69 0.03
 -------- 21:00 0.03 0.29 1.62 0.02
 25.01.13 22:00 0.02 0.24 1.59 0.01
 -------- 23:00 0.02 0.24 1.60 0.01
 -------- 00:00 0.02 0.27 1.61 0.01
 -------- 01:00 0.04 0.35 1.68 0.05
 -------- 02:00 0.05 0.34 1.66 0.04
 26.01.13 03:00 0.06 0.33 1.67 0.03
 -------- 04:00 0.05 0.31 1.64 0.03
 -------- 05:00 0.02 0.15 1.57 0.01
 -------- 06:00 0.02 0.09 1.56 0.00
 -------- 07:00 0.03 0.24 1.60 0.01
 26.01.13 08:00 0.05 0.27 1.61 0.02
 -------- 09:00 0.08 0.35 1.64 0.05
 -------- 10:00 0.11 0.36 1.67 0.11
 -------- 11:00 0.15 0.37 1.87 0.17
 -------- 12:00 0.15 0.34 1.82 0.15
 26.01.13 13:00 0.13 0.28 1.69 0.09
 -------- 14:00 0.14 0.24 1.75 0.07
 -------- 15:00 0.11 0.20 1.64 0.04
 -------- 16:00 0.07 0.20 1.62 0.02
 -------- 17:00 0.09 0.26 1.62 0.02
 26.01.13 18:00 0.08 0.32 1.63 0.02
 -------- 19:00 0.08 0.30 1.62 0.01
 -------- 20:00 0.10 0.33 1.64 0.02
 -------- 21:00 0.09 0.36 1.64 0.03
 -------- 22:00 0.14 0.38 1.90 0.10
 26.01.13 23:00 0.11 0.36 2.10 0.06
 -------- 00:00 0.09 0.33 2.11 0.03
 -------- 01:00 0.08 0.33 2.00 0.03
 -------- 02:00 0.07 0.34 1.87 0.03
 -------- 03:00 0.06 0.33 1.93 0.02
 27.01.13 04:00 0.06 0.32 1.93 0.01
 -------- 05:00 0.07 0.33 1.79 0.01
 -------- 06:00 0.04 0.34 1.81 0.01
 -------- 07:00 0.04 0.30 1.91 0.01
 -------- 08:00 0.05 0.29 2.00 0.01
 27.01.13 09:00 0.07 0.30 1.95 0.01
 -------- 10:00 0.09 0.33 2.08 0.06
 -------- 11:00 0.13 0.32 2.15 0.09
