 Date Time CO NO2 CHX NO
 17.09.12 00:00 0.08 0.22 1.55 0.03
 -------- 01:00 0.08 0.23 1.60 0.07
 -------- 02:00 0.06 0.21 1.56 0.04
 -------- 03:00 0.05 0.19 1.57 0.04
 -------- 04:00 0.06 0.19 1.60 0.05
 17.09.12 05:00 0.09 0.18 1.72 0.11
 -------- 06:00 0.09 0.17 1.91 0.19
 -------- 07:00 0.20 0.23 2.11 0.38
 -------- 08:00 0.24 0.23 1.98 0.35
 -------- 09:00 0.23 0.25 1.84 0.32
 17.09.12 10:00 0.19 0.30 1.78 0.25
 -------- 11:00 0.09 0.24 1.65 0.11
 -------- 12:00 0.04 0.13 1.52 0.03
 -------- 13:00 ---- 0.09 1.48 0.01
 -------- 14:00 ---- 0.07 1.46 0.01
 17.09.12 15:00 ---- 0.09 1.46 0.01
 -------- 16:00 ---- 0.08 1.46 0.01
 -------- 17:00 ---- 0.08 1.47 0.01
 -------- 18:00 ---- 0.12 1.47 0.01
 -------- 19:00 0.04 0.19 1.53 0.01
 17.09.12 20:00 0.28 0.35 1.81 0.25
 -------- 21:00 0.74 0.41 2.22 0.70
 -------- 22:00 0.72 0.42 2.24 0.82
 -------- 23:00 0.58 0.37 2.35 0.70
 -------- 00:00 0.50 0.35 2.44 0.73
 18.09.12 01:00 0.49 0.35 2.68 0.77
 -------- 02:00 0.34 0.34 2.11 0.64
 -------- 03:00 0.09 0.31 1.95 0.20
 -------- 04:00 0.02 0.29 2.11 0.06
 -------- 05:00 0.02 0.26 1.99 0.07
 18.09.12 06:00 0.03 0.24 1.73 0.08
 -------- 07:00 0.08 0.27 1.87 0.14
 -------- 08:00 0.19 0.29 2.30 0.24
 -------- 09:00 0.22 0.32 2.38 0.30
 -------- 10:00 0.18 0.32 2.08 0.24
 18.09.12 11:00 0.16 0.30 2.62 0.22
 -------- 12:00 0.07 0.22 1.75 0.08
 -------- 13:00 0.02 0.12 1.54 0.02
 -------- 14:00 ---- 0.11 1.48 0.01
 -------- 15:00 ---- 0.12 1.49 0.01
 18.09.12 16:00 ---- 0.11 1.47 0.01
 -------- 17:00 0.04 0.18 1.50 0.01
 -------- 18:00 0.07 0.29 1.70 0.03
 -------- 19:00 0.12 0.37 1.93 0.07
 -------- 20:00 0.16 0.39 1.78 0.12
 18.09.12 21:00 0.21 0.40 1.72 0.20
 -------- 22:00 0.16 0.37 1.69 0.13
 -------- 23:00 0.11 0.34 1.68 0.07
