 Date Time OZ NO2 NO
 26.09.12 12:00 0.07 0.18 0.09
 -------- 13:00 0.08 0.18 0.09
 -------- 14:00 0.10 0.20 0.10
 -------- 15:00 0.08 0.20 0.09
 -------- 16:00 0.09 0.20 0.10
 26.09.12 17:00 0.07 0.22 0.09
 -------- 18:00 0.07 0.23 0.10
 -------- 19:00 0.02 0.24 0.08
 -------- 20:00 0.01 0.25 0.17
 -------- 21:00 0.01 0.22 0.14
 26.09.12 22:00 0.01 0.21 0.23
 -------- 23:00 0.01 0.22 0.23
 -------- 00:00 0.01 0.24 0.24
 -------- 01:00 ---- 0.22 0.26
 -------- 02:00 0.01 0.19 0.21
 27.09.12 03:00 0.01 0.18 0.29
 -------- 04:00 0.01 0.17 0.35
 -------- 05:00 0.01 0.13 0.27
 -------- 06:00 ---- 0.13 0.28
 -------- 07:00 ---- 0.15 0.33
 27.09.12 08:00 0.01 0.19 0.46
 -------- 09:00 0.01 0.21 0.40
 -------- 10:00 0.01 0.29 0.35
 -------- 11:00 0.01 0.37 0.21
 -------- 12:00 0.04 0.28 0.12
 27.09.12 13:00 0.06 0.27 0.12
 -------- 14:00 0.08 0.24 0.08
 -------- 15:00 0.08 0.23 0.06
 -------- 16:00 0.07 0.25 0.04
 -------- 17:00 0.09 0.21 0.03
 27.09.12 18:00 0.05 0.28 0.05
 -------- 19:00 0.01 0.32 0.08
 -------- 20:00 0.01 0.33 0.07
 -------- 21:00 0.02 0.30 0.05
 -------- 22:00 0.05 0.28 0.04
 27.09.12 23:00 0.02 0.32 0.05
 -------- 00:00 0.01 0.32 0.04
 -------- 01:00 0.02 0.32 0.03
 -------- 02:00 0.09 0.24 0.02
 -------- 03:00 0.10 0.23 0.01
 28.09.12 04:00 0.12 0.21 0.01
 -------- 05:00 0.19 0.18 0.01
 -------- 06:00 0.19 0.19 0.02
 -------- 07:00 0.14 0.24 0.02
 -------- 08:00 0.04 0.36 0.09
 28.09.12 09:00 0.07 0.34 0.07
 -------- 10:00 0.10 0.32 0.07
 -------- 11:00 0.10 0.32 0.08
