 Date Time CO OZ NO2 NO
 17.09.12 12:00 0.09 0.05 0.25 0.12
 -------- 13:00 0.06 0.09 0.21 0.08
 -------- 14:00 0.03 0.15 0.16 0.05
 -------- 15:00 0.03 0.18 0.16 0.05
 -------- 16:00 0.03 0.20 0.15 0.03
 17.09.12 17:00 0.05 0.14 0.21 0.07
 -------- 18:00 0.11 0.07 0.26 0.08
 -------- 19:00 0.14 0.02 0.31 0.13
 -------- 20:00 0.41 0.01 0.35 0.50
 -------- 21:00 0.61 0.01 0.36 0.84
 17.09.12 22:00 0.94 0.01 0.37 1.07
 -------- 23:00 1.11 0.01 0.38 1.31
 -------- 00:00 1.16 0.01 0.41 1.58
 -------- 01:00 1.20 0.01 0.41 1.73
 -------- 02:00 1.15 0.01 0.41 1.59
 18.09.12 03:00 0.79 0.01 0.39 1.24
 -------- 04:00 0.55 0.01 0.35 0.87
 -------- 05:00 0.29 0.01 0.34 0.53
 -------- 06:00 0.19 0.01 0.31 0.39
 -------- 07:00 0.17 0.01 0.32 0.35
 18.09.12 08:00 0.18 ---- 0.29 0.27
 -------- 09:00 0.29 0.01 0.33 0.43
 -------- 10:00 0.28 0.01 0.35 0.41
 -------- 11:00 0.27 0.01 0.38 0.36
 -------- 12:00 0.17 0.03 0.35 0.19
 18.09.12 13:00 0.08 0.07 0.26 0.09
 -------- 14:00 0.07 0.09 0.26 0.08
 -------- 15:00 0.09 0.07 0.30 0.10
 -------- 16:00 0.09 0.06 0.29 0.09
 -------- 17:00 0.14 0.06 0.29 0.10
 18.09.12 18:00 0.14 0.05 0.31 0.10
 -------- 19:00 0.20 0.02 0.37 0.19
 -------- 20:00 0.30 0.01 0.38 0.26
 -------- 21:00 0.31 0.01 0.37 0.25
 -------- 22:00 0.29 0.01 0.36 0.22
 18.09.12 23:00 0.27 0.01 0.35 0.21
 -------- 00:00 0.17 ---- 0.33 0.12
 -------- 01:00 0.24 0.01 0.34 0.25
 -------- 02:00 0.25 0.01 0.33 0.27
 -------- 03:00 0.12 0.01 0.30 0.10
 19.09.12 04:00 0.14 0.01 0.27 0.15
 -------- 05:00 0.19 0.01 0.28 0.25
 -------- 06:00 0.21 0.01 0.31 0.29
 -------- 07:00 0.18 ---- 0.33 0.24
 -------- 08:00 0.22 0.01 0.34 0.29
 19.09.12 09:00 0.28 0.01 0.33 0.36
 -------- 10:00 0.28 0.01 0.36 0.36
 -------- 11:00 0.20 0.01 0.37 0.23
