 Date Time CO OZ NO2 NO
 02.01.13 00:00 0.08 0.03 0.21 0.02
 -------- 01:00 0.08 0.02 0.23 0.03
 -------- 02:00 0.10 0.01 0.23 0.05
 -------- 03:00 0.08 0.01 0.21 0.04
 -------- 04:00 0.08 0.03 0.18 0.02
 02.01.13 05:00 0.07 0.11 0.11 0.02
 -------- 06:00 0.06 0.11 0.12 0.02
 -------- 07:00 0.08 0.10 0.15 0.03
 -------- 08:00 0.07 0.10 0.15 0.03
 -------- 09:00 0.08 0.11 0.15 0.03
 02.01.13 10:00 0.07 0.11 0.16 0.03
 -------- 11:00 0.09 0.13 0.16 0.03
 -------- 12:00 0.09 0.11 0.18 0.04
 -------- 13:00 0.12 0.10 0.20 0.08
 -------- 14:00 0.11 0.11 0.20 0.07
 02.01.13 15:00 0.12 0.10 0.22 0.07
 -------- 16:00 0.13 0.09 0.25 0.09
 -------- 17:00 0.17 0.05 0.28 0.10
 -------- 18:00 0.19 0.02 0.30 0.11
 -------- 19:00 0.15 0.04 0.28 0.07
 02.01.13 20:00 0.12 0.06 0.26 0.05
 -------- 21:00 0.11 0.10 0.23 0.04
 -------- 22:00 0.10 0.15 0.19 0.03
 -------- 23:00 0.11 0.16 0.19 0.04
 -------- 00:00 0.09 0.19 0.16 0.03
 03.01.13 01:00 0.07 0.21 0.14 0.01
 -------- 02:00 0.07 0.20 0.14 0.01
 -------- 03:00 0.07 0.23 0.12 0.01
 -------- 04:00 0.05 0.24 0.11 0.01
 -------- 05:00 0.06 0.27 0.09 0.01
 03.01.13 06:00 0.05 0.26 0.10 0.01
 -------- 07:00 0.06 0.24 0.11 0.01
 -------- 08:00 0.11 0.20 0.13 0.02
 -------- 09:00 0.09 0.16 0.18 0.02
 -------- 10:00 0.11 0.09 0.23 0.05
 03.01.13 11:00 0.11 0.06 0.25 0.05
 -------- 12:00 0.13 0.07 0.25 0.08
 -------- 13:00 0.13 0.11 0.21 0.05
 -------- 14:00 0.15 0.11 0.20 0.07
 -------- 15:00 0.14 0.12 0.19 0.06
 03.01.13 16:00 0.13 0.09 0.22 0.06
 -------- 17:00 0.10 0.12 0.15 0.04
 -------- 18:00 0.08 0.15 0.13 0.05
 -------- 19:00 0.13 0.10 0.19 0.07
 -------- 20:00 0.14 0.05 0.24 0.07
 03.01.13 21:00 0.13 0.07 0.19 0.06
 -------- 22:00 0.12 0.06 0.18 0.05
 -------- 23:00 0.12 0.08 0.17 0.05
