 Date Time OZ NO2 NO
 04.10.12 00:00 ---- 0.24 0.23
 -------- 01:00 0.01 0.22 0.17
 -------- 02:00 0.01 0.21 0.18
 -------- 03:00 ---- 0.20 0.17
 -------- 04:00 0.01 0.21 0.24
 04.10.12 05:00 0.01 0.22 0.31
 -------- 06:00 0.01 0.21 0.28
 -------- 07:00 0.01 0.20 0.23
 -------- 08:00 0.01 0.18 0.17
 -------- 09:00 0.01 0.18 0.13
 04.10.12 10:00 0.01 0.19 0.11
 -------- 11:00 0.01 0.24 0.12
 -------- 12:00 0.01 0.23 0.12
 -------- 13:00 0.01 0.27 0.19
 -------- 14:00 0.02 0.28 0.15
 04.10.12 15:00 0.03 0.33 0.12
 -------- 16:00 0.08 0.28 0.08
 -------- 17:00 0.07 0.32 0.09
 -------- 18:00 0.08 0.29 0.09
 -------- 19:00 0.05 0.31 0.09
 04.10.12 20:00 0.03 0.32 0.07
 -------- 21:00 0.03 0.28 0.07
 -------- 22:00 0.08 0.19 0.05
 -------- 23:00 0.09 0.17 0.06
 -------- 00:00 0.15 0.12 0.03
 05.10.12 01:00 0.20 0.10 0.03
 -------- 02:00 0.20 0.10 0.02
 -------- 03:00 0.16 0.15 0.02
 -------- 04:00 0.14 0.15 0.02
 -------- 05:00 0.15 0.15 0.03
 05.10.12 06:00 0.03 0.27 0.09
 -------- 07:00 0.01 0.31 0.36
 -------- 08:00 0.01 0.30 0.21
 -------- 09:00 0.01 0.32 0.27
 -------- 10:00 0.01 0.34 0.26
 05.10.12 11:00 0.01 0.32 0.15
 -------- 12:00 0.02 0.28 0.10
 -------- 13:00 0.03 0.27 0.08
 -------- 14:00 0.02 0.27 0.10
 -------- 15:00 0.01 0.28 0.11
 05.10.12 16:00 0.01 0.29 0.12
 -------- 17:00 0.02 0.33 0.11
 -------- 18:00 0.08 0.29 0.06
 -------- 19:00 0.07 0.28 0.06
 -------- 20:00 0.04 0.29 0.06
 05.10.12 21:00 0.02 0.31 0.04
 -------- 22:00 0.01 0.31 0.07
 -------- 23:00 0.01 0.30 0.08
