 Date Time CO OZ NO2 NO
 16.12.12 00:00 0.08 0.01 0.28 0.08
 -------- 01:00 0.08 0.01 0.28 0.09
 -------- 02:00 0.08 0.01 0.27 0.08
 -------- 03:00 0.08 0.01 0.27 0.10
 -------- 04:00 0.08 0.01 0.27 0.09
 16.12.12 05:00 0.09 0.01 0.26 0.07
 -------- 06:00 0.08 0.01 0.25 0.07
 -------- 07:00 0.08 0.01 0.26 0.09
 -------- 08:00 0.08 0.01 0.25 0.07
 -------- 09:00 0.07 0.01 0.25 0.07
 16.12.12 10:00 0.11 0.01 0.25 0.09
 -------- 11:00 0.13 0.02 0.26 0.13
 -------- 12:00 0.13 0.02 0.27 0.15
 -------- 13:00 0.15 0.03 0.29 0.16
 -------- 14:00 0.16 0.03 0.31 0.16
 16.12.12 15:00 0.15 0.03 0.34 0.17
 -------- 16:00 0.15 0.02 0.35 0.16
 -------- 17:00 0.14 0.01 0.35 0.11
 -------- 18:00 0.13 0.01 0.33 0.07
 -------- 19:00 0.10 0.01 0.32 0.08
 16.12.12 20:00 0.13 0.01 0.31 0.12
 -------- 21:00 0.12 0.01 0.32 0.11
 -------- 22:00 0.10 0.01 0.31 0.08
 -------- 23:00 0.53 0.01 0.31 0.12
 -------- 00:00 0.17 0.01 0.30 0.13
 17.12.12 01:00 0.13 0.01 0.29 0.12
 -------- 02:00 0.09 0.01 0.28 0.10
 -------- 03:00 0.08 0.01 0.27 0.08
 -------- 04:00 0.10 0.01 0.27 0.10
 -------- 05:00 0.08 0.01 0.28 0.13
 17.12.12 06:00 0.11 0.01 0.28 0.14
 -------- 07:00 0.17 0.01 0.30 0.20
 -------- 08:00 0.20 0.01 0.31 0.26
 -------- 09:00 0.25 0.01 0.33 0.28
 -------- 10:00 0.23 0.01 0.34 0.26
 17.12.12 11:00 0.42 0.01 0.53 0.72
 -------- 12:00 0.41 0.01 0.54 0.69
 -------- 13:00 0.27 0.02 0.44 0.34
 -------- 14:00 0.24 0.03 0.47 0.32
 -------- 15:00 0.17 0.02 0.44 0.21
 17.12.12 16:00 0.09 0.05 0.34 0.07
 -------- 17:00 0.07 0.03 0.35 0.05
 -------- 18:00 0.06 0.02 0.33 0.04
 -------- 19:00 0.04 0.07 0.26 0.02
 -------- 20:00 0.05 0.07 0.25 0.02
 17.12.12 21:00 0.05 0.02 0.28 0.03
 -------- 22:00 0.06 0.01 0.29 0.06
 -------- 23:00 0.06 0.01 0.28 0.05
