 Date Time CO OZ NO2 NO
 09.12.12 12:00 ---- 0.06 0.18 0.07
 -------- 13:00 ---- 0.07 0.20 0.10
 -------- 14:00 ---- 0.08 0.19 0.09
 -------- 15:00 ---- 0.08 0.19 0.09
 -------- 16:00 ---- 0.08 0.21 0.10
 09.12.12 17:00 ---- 0.06 0.22 0.10
 -------- 18:00 ---- 0.02 0.28 0.15
 -------- 19:00 ---- 0.01 0.29 0.16
 -------- 20:00 ---- 0.01 0.28 0.15
 -------- 21:00 ---- 0.01 0.28 0.14
 09.12.12 22:00 ---- 0.01 0.29 0.17
 -------- 23:00 ---- 0.01 0.28 0.17
 -------- 00:00 ---- 0.01 0.29 0.18
 -------- 01:00 ---- 0.01 0.29 0.21
 -------- 02:00 ---- 0.01 0.31 0.30
 10.12.12 03:00 ---- 0.01 0.31 0.26
 -------- 04:00 ---- 0.01 0.30 0.27
 -------- 05:00 ---- 0.01 0.32 0.30
 -------- 06:00 ---- 0.01 0.30 0.19
 -------- 07:00 ---- 0.01 0.28 0.16
 10.12.12 08:00 ---- 0.01 0.27 0.17
 -------- 09:00 ---- 0.01 0.23 0.09
 -------- 10:00 ---- 0.01 0.21 0.06
 -------- 11:00 ---- 0.01 0.20 0.08
 -------- 12:00 ---- 0.02 0.18 0.07
 10.12.12 13:00 0.10 0.01 0.18 0.07
 -------- 14:00 0.13 0.01 0.18 0.08
 -------- 15:00 0.16 0.01 0.19 0.10
 -------- 16:00 0.16 0.01 0.19 0.10
 -------- 17:00 0.16 0.01 0.19 0.10
 10.12.12 18:00 0.15 0.01 0.18 0.07
 -------- 19:00 0.14 0.01 0.17 0.05
 -------- 20:00 0.12 0.01 0.16 0.05
 -------- 21:00 0.12 0.02 0.17 0.03
 -------- 22:00 0.11 0.07 0.18 0.02
 10.12.12 23:00 0.08 0.08 0.18 0.02
 -------- 00:00 0.04 0.11 0.18 0.02
 -------- 01:00 0.02 0.16 0.13 0.01
 -------- 02:00 0.02 0.19 0.12 0.01
 -------- 03:00 0.02 0.19 0.12 0.01
 11.12.12 04:00 0.02 0.18 0.13 0.01
 -------- 05:00 0.02 0.24 0.12 0.01
 -------- 06:00 0.02 0.19 0.15 0.01
 -------- 07:00 0.03 0.15 0.17 0.02
 -------- 08:00 0.04 0.12 0.19 0.02
 11.12.12 09:00 0.07 0.12 0.20 0.03
 -------- 10:00 0.07 0.17 0.18 0.03
 -------- 11:00 0.06 0.15 0.20 0.04
