 Date Time OZ NO2 NO
 27.09.12 12:00 0.05 0.28 0.10
 -------- 13:00 0.06 0.27 0.12
 -------- 14:00 0.08 0.24 0.08
 -------- 15:00 0.08 0.23 0.06
 -------- 16:00 0.07 0.25 0.04
 27.09.12 17:00 0.09 0.21 0.03
 -------- 18:00 0.05 0.28 0.05
 -------- 19:00 0.01 0.32 0.08
 -------- 20:00 0.01 0.33 0.07
 -------- 21:00 0.02 0.30 0.05
 27.09.12 22:00 0.05 0.28 0.04
 -------- 23:00 0.02 0.32 0.05
 -------- 00:00 0.01 0.32 0.04
 -------- 01:00 0.02 0.32 0.03
 -------- 02:00 0.09 0.24 0.02
 28.09.12 03:00 0.10 0.23 0.01
 -------- 04:00 0.12 0.21 0.01
 -------- 05:00 0.19 0.18 0.01
 -------- 06:00 0.19 0.19 0.02
 -------- 07:00 0.14 0.24 0.02
 28.09.12 08:00 0.04 0.36 0.09
 -------- 09:00 0.07 0.34 0.07
 -------- 10:00 0.10 0.32 0.07
 -------- 11:00 0.10 0.32 0.08
 -------- 12:00 0.12 0.32 0.07
 28.09.12 13:00 0.19 0.25 0.04
 -------- 14:00 0.21 0.29 0.06
 -------- 15:00 0.25 0.26 0.04
 -------- 16:00 0.23 0.30 0.04
 -------- 17:00 0.19 0.34 0.03
 28.09.12 18:00 0.17 0.36 0.03
 -------- 19:00 0.18 0.35 0.02
 -------- 20:00 0.15 0.38 0.02
 -------- 21:00 0.17 0.32 0.03
 -------- 22:00 0.19 0.18 0.05
 28.09.12 23:00 0.18 0.16 0.04
 -------- 00:00 0.22 0.12 0.03
 -------- 01:00 0.21 0.09 0.02
 -------- 02:00 0.22 0.08 0.02
 -------- 03:00 0.20 0.07 0.02
 29.09.12 04:00 0.20 0.07 0.02
 -------- 05:00 0.15 0.11 0.02
 -------- 06:00 0.12 0.14 0.03
 -------- 07:00 0.10 0.16 0.04
 -------- 08:00 0.08 0.18 0.07
 29.09.12 09:00 0.10 0.16 0.05
 -------- 10:00 0.13 0.16 0.06
 -------- 11:00 0.15 0.14 0.06
