 Date Time CO OZ NO2 NO
 12.12.12 00:00 0.04 0.04 0.25 0.04
 -------- 01:00 0.05 0.03 0.26 0.04
 -------- 02:00 0.04 0.07 0.22 0.02
 -------- 03:00 0.04 0.09 0.20 0.02
 -------- 04:00 0.04 0.09 0.21 0.01
 12.12.12 05:00 0.05 0.08 0.21 0.01
 -------- 06:00 0.07 0.06 0.22 0.01
 -------- 07:00 0.09 0.03 0.25 0.02
 -------- 08:00 0.09 0.03 0.26 0.04
 -------- 09:00 0.09 0.01 0.27 0.06
 12.12.12 10:00 0.10 0.01 0.27 0.09
 -------- 11:00 0.12 0.02 0.27 0.13
 -------- 12:00 0.07 0.06 0.21 0.08
 -------- 13:00 0.08 0.06 0.21 0.08
 -------- 14:00 0.08 0.06 0.21 0.08
 12.12.12 15:00 0.08 0.06 0.23 0.07
 -------- 16:00 0.11 0.04 0.26 0.08
 -------- 17:00 0.09 0.02 0.27 0.06
 -------- 18:00 0.20 0.02 0.26 0.04
 -------- 19:00 0.10 0.03 0.25 0.04
 12.12.12 20:00 0.07 0.04 0.22 0.03
 -------- 21:00 0.06 0.05 0.21 0.02
 -------- 22:00 0.06 0.07 0.19 0.02
 -------- 23:00 0.04 0.08 0.18 0.02
 -------- 00:00 0.04 0.11 0.15 0.01
 13.12.12 01:00 0.05 0.13 0.15 0.01
 -------- 02:00 0.05 0.16 0.11 0.01
 -------- 03:00 0.04 0.18 0.11 0.01
 -------- 04:00 0.04 0.19 0.10 0.01
 -------- 05:00 0.04 0.23 0.10 0.01
 13.12.12 06:00 0.04 0.23 0.11 0.01
 -------- 07:00 0.05 0.18 0.17 0.01
 -------- 08:00 0.06 0.17 0.19 0.01
 -------- 09:00 0.06 0.15 0.21 0.02
 -------- 10:00 0.07 0.15 0.23 0.02
 13.12.12 11:00 0.07 0.16 0.21 0.02
 -------- 12:00 0.07 0.14 0.22 0.03
 -------- 13:00 0.06 0.17 0.19 0.03
 -------- 14:00 0.06 0.21 0.17 0.02
 -------- 15:00 0.07 0.22 0.18 0.02
 13.12.12 16:00 0.06 0.22 0.18 0.02
 -------- 17:00 0.09 0.22 0.19 0.02
 -------- 18:00 0.06 0.21 0.19 0.02
 -------- 19:00 0.07 0.20 0.19 0.01
 -------- 20:00 0.07 0.23 0.16 0.01
 13.12.12 21:00 0.06 0.20 0.18 0.01
 -------- 22:00 0.05 0.19 0.17 0.01
 -------- 23:00 0.04 0.17 0.18 0.01
